freq	leg_stat	sex	unit	geo	2022 	2023 
A	CIV_COM_LITIG	CRT_BGHT	NR	Malta	10457.0	10660.0
A	CIV_COM_LITIG	CRT_BGHT	NR	Poland	886821.0	978903.0
A	CIV_COM_LITIG	CRT_BGHT	NR	Portugal	262708.0	263831.0
A	CIV_COM_LITIG	CRT_BGHT	NR	Romania	1332192.0	1495992.0
A	CIV_COM_LITIG	CRT_BGHT	NR	Sweden	60817.0	67827.0
A	CIV_COM_LITIG	CRT_BGHT	NR	Slovenia	29285.0	28710.0
A	CIV_COM_LITIG	CRT_BGHT	NR	Slovakia	99685.0	90807.0
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Austria	811.59	885.56
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Belgium	5762.4	5803.7
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Bulgaria		2002.63
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Czechia	2980.98	3146.52
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Germany	1203.42	1292.51
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Denmark	800.56	918.41
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Estonia	1256.87	1293.3
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Greece	1338.57	1373.59
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Spain	2892.55	3160.85
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Finland	145.05	176.1
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	France	1984.36	2140.32
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Croatia	2519.66	2746.14
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Hungary	1235.91	1296.24
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Ireland	2034.01	2152.31
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Italy	2224.55	2153.62
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Lithuania	3129.83	2939.75
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Luxembourg	1054.85	1023.14
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Latvia	1598.13	1595.85
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Malta	2007.21	1966.6
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Poland	2355.17	2663.41
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Portugal	2537.74	2508.71
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Romania	6995.9	7851.1
A	CIV_COM_LITIG	CRT_BGHT	P_HTHAB	Sweden	581.85	644.65
