freq	iccs	leg_stat	sex	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0101	PER_CNV	M	NR	Latvia	97.0	74.0	65.0	57.0	77.0	86.0	109.0	106.0	94.0	98.0	90.0	73.0	62.0	65.0	84.0	59.0
A	ICCS0101	PER_CNV	M	NR	Montenegro		28.0	4.0	6.0	6.0	31.0	18.0	14.0	10.0	12.0	6.0	8.0	8.0	7.0	3.0	5.0
A	ICCS0101	PER_CNV	M	NR	North Macedonia	32.0	52.0	32.0	37.0	36.0	31.0	39.0							17.0	21.0	27.0
A	ICCS0101	PER_CNV	M	NR	Malta	1.0	4.0	3.0	3.0	2.0	2.0	0.0	3.0	1.0	1.0	7.0	7.0	2.0	1.0	1.0	2.0
A	ICCS0101	PER_CNV	M	NR	Netherlands						642.0	543.0	488.0	442.0	505.0	532.0	541.0	569.0	634.0	684.0	750.0
A	ICCS0101	PER_CNV	M	NR	Norway	17.0	23.0	27.0	22.0	24.0	22.0	24.0	17.0	24.0	28.0	22.0	16.0	23.0	23.0	20.0	14.0
A	ICCS0101	PER_CNV	M	NR	Poland												304.0				
A	ICCS0101	PER_CNV	M	NR	Portugal	113.0	149.0	114.0	128.0	127.0	115.0	106.0	96.0	86.0	57.0	68.0	56.0	77.0	63.0	59.0	75.0
A	ICCS0101	PER_CNV	M	NR	Romania	662.0	702.0	835.0	937.0	769.0	773.0	826.0	785.0		715.0	644.0	643.0	477.0	438.0	489.0	476.0
A	ICCS0101	PER_CNV	M	NR	Serbia						116.0	130.0	78.0	96.0	85.0	64.0	72.0	66.0	96.0	38.0	74.0
A	ICCS0101	PER_CNV	M	NR	Sweden	138.0	136.0	149.0	124.0	121.0	130.0	129.0	146.0	156.0	128.0	161.0	178.0	194.0	227.0	203.0	296.0
A	ICCS0101	PER_CNV	M	NR	Slovenia	27.0	20.0	15.0	26.0	22.0	36.0	33.0	20.0	18.0	20.0	33.0	15.0	15.0	18.0	12.0	20.0
A	ICCS0101	PER_CNV	M	NR	Slovakia	45.0	41.0	59.0	38.0	39.0	36.0	40.0	27.0	29.0	27.0	32.0	28.0	35.0	42.0	36.0	27.0
A	ICCS0101	PER_CNV	M	NR	Turkey		14512.0	15390.0	14819.0	17279.0	6967.0	6143.0	6326.0	5572.0	5077.0	6511.0	6943.0	5655.0	7303.0	7461.0	7572.0
A	ICCS0101	PER_CNV	M	NR	England and Wales	415.0	356.0	328.0	320.0	324.0	293.0	322.0	252.0	271.0							
A	ICCS0101	PER_CNV	M	NR	Scotland	56.0	48.0	43.0	49.0	46.0	43.0	30.0	25.0	26.0	27.0						
A	ICCS0101	PER_CNV	M	NR	Northern Ireland	10.0	14.0	14.0	11.0	8.0	13.0	7.0	6.0	9.0	10.0	16.0					
A	ICCS0101	PER_CNV	M	NR	Kosovo	54.0	73.0	73.0	86.0	57.0	42.0	78.0	96.0	66.0	79.0	117.0	96.0				
