freq	leg_stat	sex	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	PER_CNV	M	P_HTHAB	Norway	1181.99	1125.28	1162.47	1104.06	1071.11	2234.39	2089.36	2127.5	1986.03	1889.34	479.32	473.06	457.0	429.6	408.43	398.02
A	PER_CNV	M	P_HTHAB	Poland	2211.91	2178.39	2253.46	2205.55	2121.58	1824.96	1516.37	1319.8	1461.36	1210.18	1387.92	1440.19	1256.91			
A	PER_CNV	M	P_HTHAB	Portugal	1550.81	1379.43	1371.67	1369.89	1389.98	1247.13	928.31	1047.69	1001.41	919.78	828.24	805.57	624.99	752.94	802.13	733.15
A	PER_CNV	M	P_HTHAB	Romania	342.4	325.61	380.61	431.81	474.27	456.41	389.63	405.87	313.0	347.9	311.42	296.21	280.33	317.63	295.25	286.5
A	PER_CNV	M	P_HTHAB	Serbia	1129.29	1090.33	591.8	848.98	864.84	902.4	974.61	920.48	909.89	884.71	826.95	790.02	707.33	774.57	743.76	783.78
A	PER_CNV	M	P_HTHAB	Sweden	644.17	657.0	674.48	663.91	634.68	1152.27	1063.63	1024.15	965.49	971.67	1008.45	1035.07	1120.96	1193.7	1219.47	1258.7
A	PER_CNV	M	P_HTHAB	Slovenia	827.85	744.56	737.0	690.15	758.21	1015.84	815.77	694.95	584.37	549.49	537.66	515.28	405.4	475.59	451.08	427.45
A	PER_CNV	M	P_HTHAB	Slovakia	942.19	1007.17	1013.09	970.37	1135.59	1168.9	1079.7	948.07	861.92	828.34	927.53	900.54	805.45	763.59	805.0	754.32
A	PER_CNV	M	P_HTHAB	Turkey		3330.34	3091.17	3126.15	3637.15	1227.54	1195.56	1244.19	1081.48	1036.66	1272.81	1336.51	1097.97	1539.2	1496.95	1480.35
A	PER_CNV	M	P_HTHAB	England and Wales	3904.81	3880.14	3727.18	3490.85	3171.71	2983.8	3010.91	2995.67	2932.59							
A	PER_CNV	M	P_HTHAB	Scotland	2008.66	1863.72	1796.09	1734.12	1553.72	1479.75				2588.53						
