freq	leg_case	leg_stat	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A	ADM	CRT_PEN	P_HTHAB	Hungary	62.02	69.3	75.73	64.92	55.17	53.69	68.18	58.61	59.27	55.8	52.97	48.79	80.75	64.51	68.14
A	ADM	CRT_PEN	P_HTHAB	Italy	1144.51	1066.93	852.14	743.7	540.17	499.66	439.68	397.83	349.61	304.36	274.28	250.7	227.11	209.66	183.45
A	ADM	CRT_PEN	P_HTHAB	Lithuania	49.55	47.33	88.38	92.71	99.35	309.16	363.55	367.96	142.84	91.44	158.6	135.96	168.03	176.88	189.02
A	ADM	CRT_PEN	P_HTHAB	Luxembourg														224.98	236.29
A	ADM	CRT_PEN	P_HTHAB	Latvia	194.59	247.36	256.97	265.45	212.68	126.99	77.19	65.46	71.56	72.15	67.77	63.13	57.35	65.29	58.8
A	ADM	CRT_PEN	P_HTHAB	Montenegro	263.18	207.73	197.09	203.92	274.22	237.24	291.22	346.73	436.99	1725.61	1670.1	1619.14	1367.64	1456.33	2767.12
A	ADM	CRT_PEN	P_HTHAB	Malta						178.71	160.56	97.36	95.07	81.25	80.09	73.14	66.85	74.6	76.2
A	ADM	CRT_PEN	P_HTHAB	Poland		46.04	55.93	57.37	58.14	73.75	81.52	87.27	81.3	67.75	58.92	61.53	70.56	87.25	90.71
A	ADM	CRT_PEN	P_HTHAB	Portugal								729.85	704.13	681.91	657.46	643.65	587.35	565.21	534.85
A	ADM	CRT_PEN	P_HTHAB	Romania	90.27	133.47	243.95	428.92	701.17	551.13	422.06	297.22	351.15	337.43	267.77	269.56	285.69	286.69	286.47
A	ADM	CRT_PEN	P_HTHAB	Serbia						347.95	339.48	363.99	398.17	436.77	535.8	556.72	693.13	943.54	1518.26
A	ADM	CRT_PEN	P_HTHAB	Sweden	443.56	501.29	626.59	535.17	447.65	445.19	404.26	346.35	438.83	592.92	638.18	602.86	555.54	495.32	442.15
A	ADM	CRT_PEN	P_HTHAB	Slovenia	213.16	150.42	112.36	117.84	93.55	88.3	80.98	78.39	96.89	159.45	174.13	189.63	178.97	184.83	187.26
A	ADM	CRT_PEN	P_HTHAB	Slovakia	3.48	3.03	2.62	2.15	1.85	1.96	2.27	2.36	2.23	95.04	98.33	117.07	129.21	149.15	156.42
A	ADM	CRT_PEN	P_HTHAB	Turkey		224.34	273.35	229.63	170.81	217.37	193.1	216.56	266.59	184.05	186.86	228.13	237.59	237.88	251.31
A	ADM	CRT_PEN	P_HTHAB	England and Wales	846.88	1140.44	1311.28	1335.12	1483.9	1520.29	641.17	687.45	775.12						
A	ADM	CRT_PEN	P_HTHAB	Kosovo	50.48	36.32	46.56	77.14					293.07	297.39	338.78	351.68			
A	ADM	CRT_RESL	NR	Albania						2891.0	18852.0	14870.0	11309.0	8934.0	8375.0	16212.0	12082.0	10733.0	
A	ADM	CRT_RESL	NR	Bosnia and Herzegovina	3849.0	7856.0	8896.0	11545.0	11596.0	11427.0	12108.0	9486.0	8578.0	7752.0	7183.0	7600.0	7095.0	8529.0	8279.0
A	ADM	CRT_RESL	NR	Bulgaria				28172.0	26462.0	28727.0	24955.0	26196.0	26117.0	29666.0	31044.0	34226.0	29388.0	28946.0	28006.0
A	ADM	CRT_RESL	NR	Switzerland	15339.0		21132.0		25509.0				9148.0						
A	ADM	CRT_RESL	NR	Czechia				6242.0	8756.0	8788.0	8251.0	8427.0	9637.0	10113.0	10445.0	11333.0	11275.0	11064.0	9729.0
A	ADM	CRT_RESL	NR	Germany	136962.0	127403.0	124397.0	124204.0	133421.0	146278.0	128703.0	147293.0	164160.0	203426.0	220802.0	208155.0	186020.0	171777.0	167600.0
A	ADM	CRT_RESL	NR	Estonia	2437.0	2723.0	3243.0	3163.0	3013.0	2687.0	3422.0	3523.0	3123.0	2967.0	2477.0	2388.0	2531.0	2795.0	2736.0
A	ADM	CRT_RESL	NR	Greece						97219.0	101467.0	99510.0	79872.0	98698.0	98621.0	79540.0	73525.0	60628.0	65990.0
A	ADM	CRT_RESL	NR	Spain	230786.0	243565.0	252340.0	244592.0	243718.0	226973.0	205548.0	200375.0	184041.0	172522.0	171713.0	184040.0	154264.0	181836.0	178091.0
A	ADM	CRT_RESL	NR	Finland	22371.0	21495.0	22855.0	21850.0	20586.0	20187.0	19849.0	19849.0	23748.0	22703.0	21238.0	19941.0	18756.0	22277.0	22188.0
A	ADM	CRT_RESL	NR	France				176057.0	199511.0	192867.0	200547.0	198336.0	30605.0	191697.0	209618.0	223229.0	200411.0	233250.0	232332.0
A	ADM	CRT_RESL	NR	Croatia	14847.0	15183.0	15616.0	16255.0	4936.0	8885.0	11969.0	13290.0	15672.0	14943.0	15571.0	14178.0	13098.0	13645.0	13589.0
A	ADM	CRT_RESL	NR	Hungary	12834.0	12775.0	13727.0	13980.0	13599.0	16888.0	16594.0	19107.0	19539.0	17268.0	17407.0	16844.0	26133.0	22194.0	19226.0
A	ADM	CRT_RESL	NR	Italy	87366.0	96868.0	181827.0	123925.0	145951.0	107106.0	99169.0	87594.0	83736.0	75856.0	68120.0	66684.0	57351.0	59949.0	68917.0
A	ADM	CRT_RESL	NR	Lithuania	6574.0	4434.0	6411.0	5911.0	7914.0	11728.0	12763.0	16875.0	21540.0	13221.0	13048.0	14929.0	13994.0	15874.0	23006.0
A	ADM	CRT_RESL	NR	Luxembourg							1283.0	1146.0	1156.0	1144.0	1071.0	1095.0	957.0	994.0	1054.0
A	ADM	CRT_RESL	NR	Latvia	3938.0	3734.0	4546.0	4653.0	5224.0	4640.0	3440.0	2541.0	2283.0	2104.0	1960.0	1971.0	1815.0	1763.0	2007.0
A	ADM	CRT_RESL	NR	Montenegro	1898.0	2623.0	3795.0	3632.0	2963.0	3357.0	3266.0	3250.0	4130.0	4709.0	9451.0	6808.0	7039.0	6065.0	5287.0
A	ADM	CRT_RESL	NR	Malta										119.0	87.0	157.0	137.0	105.0	134.0
A	ADM	CRT_RESL	NR	Netherlands	72813.0	70519.0	73989.0	77116.0	74319.0	77617.0	80555.0	79219.0							
A	ADM	CRT_RESL	NR	Poland	58730.0	59500.0	64121.0	65699.0	71865.0	75697.0	81240.0	81353.0	78992.0	77567.0	69315.0	69238.0	65053.0	80032.0	75980.0
A	ADM	CRT_RESL	NR	Portugal								27707.0	29638.0	26519.0	27103.0	29071.0	74836.0	27197.0	27051.0
A	ADM	CRT_RESL	NR	Romania	52119.0	65177.0	71110.0	120718.0	193115.0	215669.0	167898.0	128619.0	107523.0	149300.0	98813.0	83044.0	76613.0	83574.0	80633.0
A	ADM	CRT_RESL	NR	Serbia						18277.0	20149.0	18681.0	19274.0	19180.0	18666.0	21285.0	23736.0	22104.0	25178.0
A	ADM	CRT_RESL	NR	Sweden	127307.0	119884.0	118997.0	136957.0	137453.0	132323.0	136806.0	132953.0	134461.0	146887.0	161926.0	180107.0	196210.0	184009.0	157643.0
A	ADM	CRT_RESL	NR	Slovenia	4931.0	4835.0	4096.0	3519.0	3667.0	3386.0	3439.0	3004.0	2589.0	2682.0	3233.0	2793.0	3088.0	2604.0	2669.0
A	ADM	CRT_RESL	NR	Slovakia	266.0	261.0	401.0	299.0	259.0	198.0	337.0	177.0	178.0	5950.0	4866.0	4496.0	4400.0	4379.0	4790.0
A	ADM	CRT_RESL	NR	Turkey		355473.0	386884.0	415672.0	405791.0	414644.0	434139.0	414644.0	434139.0	351413.0	323279.0	327022.0	337138.0	386949.0	386540.0
A	ADM	CRT_RESL	NR	England and Wales	570890.0	650852.0	712208.0	773530.0	743505.0	932544.0	794111.0	405220.0	429707.0						
A	ADM	CRT_RESL	NR	Northern Ireland	9327.0	10373.0	10822.0	8996.0	8784.0	7636.0	7743.0	7399.0		7511.0	6715.0				
A	ADM	CRT_RESL	NR	Kosovo	2308.0	1326.0	1008.0	1194.0	1405.0	1107.0	1130.0	959.0	2404.0	2268.0	2219.0	2929.0			
A	ADM	CRT_RESL	P_HTHAB	Albania							650.98	515.28	393.28	310.58	291.78	566.37	424.53	379.29	
A	ADM	CRT_RESL	P_HTHAB	Bosnia and Herzegovina	100.13	204.37	231.42	300.4	302.04										
A	ADM	CRT_RESL	P_HTHAB	Bulgaria				382.28	361.15	394.36	344.41	363.72	365.08	417.72	440.34	488.94	422.76	418.5	409.51
A	ADM	CRT_RESL	P_HTHAB	Switzerland	202.0		271.42		320.68				109.86						
A	ADM	CRT_RESL	P_HTHAB	Czechia				59.52	83.35	83.57	78.49	79.97	91.31	95.6	98.44	106.42	105.43	103.38	92.51
A	ADM	CRT_RESL	P_HTHAB	Germany	166.58	155.37	152.07	154.83	166.1	181.66	159.35	181.4	199.77	246.51	266.69	250.73	223.67	206.57	201.35
A	ADM	CRT_RESL	P_HTHAB	Estonia	182.08	203.86	243.23	237.88	227.36	203.53	260.07	267.94	237.32	225.52	187.77	180.25	190.45	210.14	205.44
A	ADM	CRT_RESL	P_HTHAB	Greece						883.52	928.61	916.47	740.67	916.57	918.16	741.66	685.96	567.75	630.89
A	ADM	CRT_RESL	P_HTHAB	Spain	505.35	526.75	542.82	524.12	520.56	485.73	441.92	431.38	396.3	370.79	368.02	392.1	325.91	383.63	375.46
A	ADM	CRT_RESL	P_HTHAB	Finland	422.06	403.56	427.08	406.49	381.13	372.0	364.12	362.75	432.78	412.53	385.23	361.39	339.46	402.56	399.91
A	ADM	CRT_RESL	P_HTHAB	France				270.95	305.64	294.0	304.13	298.3	45.93	286.93	312.74	332.3	297.7	344.76	342.31
A	ADM	CRT_RESL	P_HTHAB	Croatia	344.32	352.29	362.92	378.92	115.44	208.46	281.84	314.53	373.97	359.71	379.27	347.82	322.76	338.05	351.84
A	ADM	CRT_RESL	P_HTHAB	Hungary	127.76	127.36	137.07	140.0	136.92	170.43	168.0	193.87	198.76	176.25	178.02	172.36	267.5	228.08	198.43
A	ADM	CRT_RESL	P_HTHAB	Italy	148.95	164.18	307.19	208.75	245.73	179.45	163.15	144.08	138.03	125.2	112.62	111.48	96.16	101.2	116.75
A	ADM	CRT_RESL	P_HTHAB	Lithuania	204.63	139.27	204.04	193.64	263.48	394.63	433.6	577.66	745.7	464.24	464.52	534.29	500.84	567.8	819.89
A	ADM	CRT_RESL	P_HTHAB	Luxembourg							233.41	203.57	200.61	193.68	177.91	178.37	152.85	156.6	163.31
A	ADM	CRT_RESL	P_HTHAB	Latvia	179.67	172.64	214.38	224.28	255.48	229.27	171.87	127.94	115.95	107.89	101.32	102.66	95.14	93.12	107.0
A	ADM	CRT_RESL	P_HTHAB	Montenegro	308.35	425.01	613.08	585.95	477.67	540.67	525.49	522.42	663.75	756.6	1518.58	1094.21	1131.9	977.06	855.94
A	ADM	CRT_RESL	P_HTHAB	Malta										25.85	18.29	31.81	26.62	20.34	25.72
A	ADM	CRT_RESL	P_HTHAB	Netherlands	443.84	427.76	446.39	463.0	444.22	462.57	478.66	468.73							
A	ADM	CRT_RESL	P_HTHAB	Poland	154.08	156.02	168.64	172.61	188.8	198.88	213.69	214.06	208.05	204.27	182.52	182.34	171.38	211.5	201.78
