freq	leg_stat	citizen	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	PER_CNV	NAT	NR	France	534134.0	544399.0	537505.0	535268.0	560447.0	554365.0	487673.0	486479.0	396495.0	394048.0	462499.0	463589.0	386101.0	444485.0	416886.0	428304.0
A	PER_CNV	NAT	NR	Croatia	23675.0	25040.0		22893.0	20320.0	16495.0	14829.0	12535.0	13350.0	11933.0	11647.0	12522.0	11233.0	11789.0	11738.0	10628.0
A	PER_CNV	NAT	NR	Hungary	81521.0	83959.0	86294.0	83159.0	73437.0	68603.0	74120.0	68820.0	67298.0	66272.0	64202.0	61512.0	51450.0	52199.0	51939.0	51258.0
A	PER_CNV	NAT	NR	Italy	174308.0	167851.0	165759.0	174453.0	173456.0	172499.0	155954.0	149073.0	131533.0	129702.0	142690.0					
A	PER_CNV	NAT	NR	Luxembourg									3338.0	3516.0	3057.0	2917.0	3064.0	3047.0	2462.0	2559.0
A	PER_CNV	NAT	NR	Latvia	10871.0	10566.0	9515.0	9079.0	8813.0	8478.0	9041.0	9309.0	8615.0	8970.0	8338.0	7888.0	6930.0	6661.0	4630.0	4017.0
A	PER_CNV	NAT	NR	Montenegro		969.0	648.0	1089.0	1398.0	1145.0	1387.0									
A	PER_CNV	NAT	NR	North Macedonia										2686.0		4946.0	6588.0	7850.0	7872.0	6693.0
A	PER_CNV	NAT	NR	Norway				51804.0	49645.0	51239.0	48745.0	50149.0	48202.0	45782.0	11797.0	11884.0	11546.0	11083.0	10355.0	10230.0
A	PER_CNV	NAT	NR	Poland	442449.0	434946.0	448471.0	439742.0	422027.0	365428.0	304957.0	265129.0	291530.0	242714.0	275154.0	284911.0	249897.0			
A	PER_CNV	NAT	NR	Portugal	77172.0	67939.0	67399.0	67619.0	69065.0	63037.0	46818.0	53010.0	50649.0	46011.0	41273.0	39772.0	30710.0	36582.0	38894.0	35343.0
A	PER_CNV	NAT	NR	Romania	36058.0	33672.0							32404.0	34973.0	31808.0	33291.0	31199.0	35016.0	32630.0	31175.0
A	PER_CNV	NAT	NR	Serbia					32861.0	34147.0	36736.0	34257.0	33724.0	32296.0	30165.0	28957.0	25600.0	27568.0	25777.0	26961.0
A	PER_CNV	NAT	NR	Slovenia								7009.0	5980.0	5091.0	5349.0	4982.0	4062.0	5098.0	4334.0	4427.0
A	PER_CNV	NAT	NR	Slovakia	28084.0	30406.0	30599.0	29536.0	34405.0	35371.0	32914.0	28921.0	26384.0	25447.0	28347.0	27480.0	24592.0	22825.0	24273.0	22764.0
A	PER_CNV	NAT	NR	Turkey		1281933.0	1206918.0	1229807.0	1457180.0	491773.0	484830.0	513321.0	453811.0	439345.0	545611.0	581088.0	481335.0	675634.0	665912.0	665230.0
A	PER_CNV	NAT	NR	Kosovo	13159.0	13341.0	9829.0	18257.0	20893.0	15748.0	18271.0	16827.0	18514.0	19518.0	20402.0	17957.0				
A	PER_CNV	NAT	P_HTHAB	Austria	327.82	318.64	315.29	296.54	282.42	264.05	244.16	224.59	206.08	202.27	177.07	176.31	157.86	156.01	156.5	151.06
A	PER_CNV	NAT	P_HTHAB	Bosnia and Herzegovina				407.73	463.71											
A	PER_CNV	NAT	P_HTHAB	Belgium			1054.23	1027.63	1144.61	945.96	763.45	837.99		1518.12	1440.69	1274.61	994.27			
A	PER_CNV	NAT	P_HTHAB	Bulgaria	468.66	533.65	495.62	535.1	492.21	420.74	372.61	340.4	363.72	342.66	322.86	317.31	300.34	321.76	332.16	321.53
A	PER_CNV	NAT	P_HTHAB	Switzerland	678.59	671.38	685.05	619.56	631.68	575.56	583.6	578.33	563.18	537.06	538.49	511.06	507.41	511.19	518.48	506.15
A	PER_CNV	NAT	P_HTHAB	Czechia	679.2	656.63	628.92	622.76	633.56	694.7	647.31	575.92	533.03	478.1	463.11	467.15	409.92	425.41	425.41	415.63
A	PER_CNV	NAT	P_HTHAB	Germany	852.67	823.4	786.77	785.62	743.15	708.98	686.05	652.59	616.13	585.28	567.72	569.73	543.02	509.21	491.03	482.72
A	PER_CNV	NAT	P_HTHAB	Denmark							3075.06	2925.48	2796.99	2579.23	2591.14	687.88	775.85	719.16	700.63	746.14
A	PER_CNV	NAT	P_HTHAB	Greece														30.03	29.45	27.83
A	PER_CNV	NAT	P_HTHAB	Spain		0.0					383.81	391.71	471.37	497.67	492.64	482.64	369.38	470.58	508.39	442.79
A	PER_CNV	NAT	P_HTHAB	Finland	4117.47	3533.16	3452.71	3360.61	3145.24	2992.92	2814.76	2929.43	2488.03	1301.73	1307.93	1306.0	1290.74	1301.73	1234.01	1241.97
A	PER_CNV	NAT	P_HTHAB	France	834.49	845.99	831.29	823.76	858.57	845.06	737.04	732.01	594.99	589.81	690.03	690.09	572.22	656.27	612.24	627.3
A	PER_CNV	NAT	P_HTHAB	Croatia	549.05	581.0		533.65	475.21	387.01	349.18	296.66	318.56	287.25	283.69	307.19	276.8	292.07	303.91	275.99
A	PER_CNV	NAT	P_HTHAB	Hungary	811.53	837.0	861.71	832.78	739.4	692.34	750.4	698.29	684.58	676.41	656.57	629.42	530.99	540.84	540.45	533.95
A	PER_CNV	NAT	P_HTHAB	Italy	297.19	284.49	280.04	293.87	292.04	289.01	256.58	245.2	216.82	214.07	235.91					
A	PER_CNV	NAT	P_HTHAB	Luxembourg									579.26	595.26	507.8	475.16	489.37	480.05	381.47	387.25
A	PER_CNV	NAT	P_HTHAB	Latvia	495.98	488.53	448.71	437.63	430.99	418.91	451.72	468.71	437.54	459.97	431.04	410.84	363.27	351.83	246.83	213.33
A	PER_CNV	NAT	P_HTHAB	Montenegro		157.01	104.68	175.69	225.37	184.41	223.16									
A	PER_CNV	NAT	P_HTHAB	North Macedonia										129.53		238.12	317.3	379.45	428.5	365.75
A	PER_CNV	NAT	P_HTHAB	Norway				1052.8	995.71	1014.38	954.29	970.66	925.05	870.66	222.77	223.04	215.11	205.57	190.87	186.37
A	PER_CNV	NAT	P_HTHAB	Poland	1160.81	1140.52	1179.48	1155.31	1108.74	960.07	802.14	697.6	767.85	639.18	724.53	750.3	658.35			
A	PER_CNV	NAT	P_HTHAB	Portugal	731.26	643.18	637.43	639.56	655.12	601.08	448.99	510.95	489.77	446.29	401.06	387.01	295.99	351.94	373.22	336.07
A	PER_CNV	NAT	P_HTHAB	Romania	174.74	164.73							163.98	178.03	162.84	171.48	161.41	182.36	171.35	163.61
A	PER_CNV	NAT	P_HTHAB	Serbia					455.35	475.49	514.02	481.52	476.57	458.73	430.84	415.82	369.58	401.19	379.23	405.97
A	PER_CNV	NAT	P_HTHAB	Slovenia								339.77	289.7	246.43	258.8	239.41	193.81	241.73	205.68	209.12
A	PER_CNV	NAT	P_HTHAB	Slovakia	522.39	564.92	567.66	547.73	636.62	653.71	607.72	533.47	486.23	468.18	520.79	504.18	450.58	418.06	446.63	419.32
A	PER_CNV	NAT	P_HTHAB	Turkey		1792.48	1663.31	1668.15	1950.08	650.26	632.38	660.68	576.33	550.46	675.17	708.61	578.84	808.04	786.38	780.06
A	PER_CNV	NAT	P_HTHAB	Kosovo	611.15	611.78	445.13	1017.57					1045.04	1094.35	1134.39	1000.02				
A	PER_CNV	TOTAL	NR	Albania	8009.0	7670.0	8510.0	9754.0	9562.0	8577.0	13618.0	16141.0	14614.0	10911.0	11614.0	11052.0	9853.0	12603.0	11422.0	8856.0
A	PER_CNV	TOTAL	NR	Austria	38226.0	37868.0	38394.0	36461.0	35541.0	34424.0	32980.0	32118.0	30450.0	30746.0	27655.0	27284.0	23716.0	23731.0	24466.0	25033.0
A	PER_CNV	TOTAL	NR	Bosnia and Herzegovina	16951.0	17707.0	17294.0	15709.0	17846.0	19015.0	18442.0	17471.0	16592.0	15036.0	14447.0	13616.0	10702.0	11356.0	10770.0	10702.0
A	PER_CNV	TOTAL	NR	Belgium			140990.0	142882.0	163323.0	141857.0	117534.0	132122.0	43578.0	238286.0	229599.0	202990.0	159957.0			
A	PER_CNV	TOTAL	NR	Bulgaria	36137.0	40872.0	39070.0	41013.0	37996.0	34113.0	31849.0	27787.0	28301.0	25800.0	23973.0	23389.0	21889.0	24121.0	24047.0	23037.0
A	PER_CNV	TOTAL	NR	Switzerland	100048.0	102526.0	106935.0	101903.0	109123.0	107099.0	108877.0	108819.0	108393.0	105156.0	106185.0	97170.0	97170.0	98912.0	103444.0	105916.0
A	PER_CNV	TOTAL	NR	Cyprus	63775.0	62466.0	75693.0	86813.0	71545.0	60819.0	68708.0	54095.0	45324.0	43477.0	39502.0	39975.0	35541.0	33563.0	36984.0	
A	PER_CNV	TOTAL	NR	Czechia	75882.0	73787.0	70651.0	70160.0	71471.0	77976.0	72825.0	65569.0	61423.0	55705.0	54448.0	55594.0	45558.0	49647.0	50227.0	51399.0
A	PER_CNV	TOTAL	NR	Germany	874691.0	844520.0	813266.0	807815.0	773901.0	755938.0	748782.0	739487.0	737873.0	716044.0	712338.0	728868.0	699269.0	662100.0	647374.0	656901.0
A	PER_CNV	TOTAL	NR	Denmark	163095.0	173255.0	183599.0	200452.0	209632.0	206214.0	209388.0	195172.0	189750.0	177935.0	182804.0	51439.0	56280.0	52837.0	52678.0	57224.0
A	PER_CNV	TOTAL	NR	Estonia	11574.0	7881.0	9131.0	9992.0	9638.0	8477.0	7670.0	7375.0	7619.0	6714.0	5702.0	5703.0	4949.0	4569.0	3837.0	
A	PER_CNV	TOTAL	NR	Greece														5426.0	4764.0	4294.0
A	PER_CNV	TOTAL	NR	Spain	241743.0	257148.0	248313.0	256391.0	253715.0	245820.0	233875.0	236843.0	284454.0	298979.0	300301.0	301043.0	232675.0	295805.0	322650.0	293344.0
A	PER_CNV	TOTAL	NR	Finland	237782.0	206430.0	206070.0	202922.0	191015.0	182679.0	173056.0	181694.0	156034.0	82427.0	82822.0	82956.0	80692.0	80740.0	77562.0	78807.0
A	PER_CNV	TOTAL	NR	France	703695.0	703853.0	682489.0	663417.0	679219.0	667579.0	578482.0	574475.0	468583.0	466980.0	546279.0	549552.0	458259.0	530201.0	504379.0	517857.0
A	PER_CNV	TOTAL	NR	Croatia	25126.0	26355.0	25355.0	24203.0	21174.0	17162.0	15452.0	12972.0	13777.0	12424.0	12168.0	13295.0	11902.0	12550.0	12629.0	11523.0
A	PER_CNV	TOTAL	NR	Hungary	84457.0	86901.0	89343.0	85110.0	75291.0	70326.0	76317.0	71738.0	71686.0	68735.0	66681.0	64043.0	53850.0	54936.0	55407.0	55676.0
A	PER_CNV	TOTAL	NR	Ireland		3146.0	3308.0	3182.0												
A	PER_CNV	TOTAL	NR	Italy	260375.0	252076.0	254384.0	266039.0	259923.0	246980.0	226939.0	220903.0	198177.0	194720.0	215991.0					
A	PER_CNV	TOTAL	NR	Lithuania	12788.0	13050.0	13992.0	13697.0	16631.0	19530.0	20358.0	17273.0	15508.0	18058.0	19779.0	17564.0	16060.0	15010.0	14959.0	14717.0
A	PER_CNV	TOTAL	NR	Luxembourg									8433.0	9546.0	8205.0	7582.0	7504.0	8032.0	5954.0	6576.0
A	PER_CNV	TOTAL	NR	Latvia	10979.0	10702.0	9626.0	9194.0	8942.0	8626.0	9213.0	9558.0	8945.0	9262.0	8587.0	8099.0	7093.0	6849.0	4951.0	4306.0
A	PER_CNV	TOTAL	NR	Montenegro			673.0	1121.0	1444.0	3238.0	3111.0	2755.0	3712.0	3528.0	3344.0	3611.0	3703.0	3535.0	3002.0	2724.0
A	PER_CNV	TOTAL	NR	North Macedonia	10218.0	10549.0	9716.0	10532.0	9598.0	10012.0	12144.0			2769.0		5016.0	6701.0	8016.0	8031.0	6835.0
A	PER_CNV	TOTAL	NR	Netherlands	115051.0	114849.0	98150.0	93362.0	87879.0	92190.0	88878.0	91446.0	81799.0	82070.0	78546.0	76827.0	59444.0	62103.0	62543.0	66894.0
A	PER_CNV	TOTAL	NR	Norway	66503.0	64165.0	66983.0	64681.0	63428.0	67048.0	63859.0	65196.0	62343.0	59724.0	14910.0	14733.0	14253.0	13502.0	12819.0	12707.0
A	PER_CNV	TOTAL	NR	Poland	447686.0	440225.0	455649.0	446271.0	429087.0	372343.0	311741.0	272271.0	300867.0	251093.0	285522.0	296898.0	261556.0			
A	PER_CNV	TOTAL	NR	Portugal	87861.0	78266.0	77776.0	77811.0	79212.0	71171.0	52861.0	59462.0	56939.0	51968.0	46688.0	45312.0	35345.0	42691.0	45847.0	42283.0
A	PER_CNV	TOTAL	NR	Romania	36795.0	34226.0	41891.0	47577.0	49188.0	47133.0	40832.0	42276.0	32720.0	35396.0	32204.0	33683.0	31483.0	35317.0	32907.0	31439.0
A	PER_CNV	TOTAL	NR	Serbia	44367.0	42782.0	23321.0	33097.0	33624.0	34889.0	37410.0	35115.0	34557.0	33392.0	31298.0	29788.0	26726.0	28891.0	27413.0	28373.0
A	PER_CNV	TOTAL	NR	Sweden	69454.0	71715.0	74510.0	73680.0	71110.0	64391.0	60662.0	59344.0	56659.0	57372.0	60565.0	62708.0	68996.0	74581.0	76636.0	80008.0
A	PER_CNV	TOTAL	NR	Slovenia	9228.0	8453.0	8423.0	7965.0	8825.0	11758.0	9729.0	8241.0	7006.0	6521.0	6324.0	6256.0	5007.0	5974.0	5567.0	5258.0
A	PER_CNV	TOTAL	NR	Slovakia	28681.0	30953.0	31179.0	30110.0	35077.0	36079.0	33610.0	29691.0	27208.0	26330.0	29385.0	28431.0	25392.0	23642.0	25254.0	23963.0
A	PER_CNV	TOTAL	NR	Turkey		1288334.0	1213217.0	1237448.0	1514825.0	500608.0	492869.0	521213.0	459195.0	445436.0	555369.0	592398.0	492323.0	692281.0	682380.0	682243.0
A	PER_CNV	TOTAL	NR	England and Wales	1355146.0	1399856.0	1359715.0	1306509.0	1224976.0	1172953.0	1211152.0	1241080.0	1231726.0							
A	PER_CNV	TOTAL	NR	Scotland	60399.0	56428.0	54766.0	53249.0	48105.0	45659.0				82716.0						
A	PER_CNV	TOTAL	NR	Northern Ireland	39018.0	39539.0	39628.0	40538.0	38914.0	35276.0	26607.0	24379.0	22956.0	23630.0	24921.0					
A	PER_CNV	TOTAL	NR	Kosovo	13254.0	13415.0	9925.0	18367.0	20990.0	15832.0	18330.0	16907.0	18554.0	19519.0	20434.0	18001.0				
A	PER_CNV	TOTAL	P_HTHAB	Albania	252.64	240.83		344.45			470.24	559.33	508.21	379.3	404.62	386.11	346.21	445.38	408.86	320.66
A	PER_CNV	TOTAL	P_HTHAB	Austria	460.11	454.32	459.72	435.35	422.7	407.29	387.69	374.5	349.98	350.47	313.47	307.99	266.44	265.67	272.48	274.94
A	PER_CNV	TOTAL	P_HTHAB	Bosnia and Herzegovina	440.99	460.64	449.89	408.75	464.83											
