freq	iccs	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0101	P_HTHAB	Serbia	1.74	1.85	1.56	1.57	1.44	1.84	1.6	1.35	1.5	1.12	1.49	1.15	1.1	1.06	1.03	1.17
A	ICCS0101	P_HTHAB	Sweden	0.89	1.0	0.97	0.86	0.72	0.91	0.9	1.15	1.08	1.13	1.07	1.09	1.2	1.09	1.11	1.15
A	ICCS0101	P_HTHAB	Slovenia	0.55	0.64	0.54	0.83	0.68	0.58	0.82	0.97	0.48	0.92	0.44	0.67	0.52	0.43	0.62	0.61
A	ICCS0101	P_HTHAB	Slovakia	1.75	1.56	1.65	1.78	1.39	1.44	1.33	0.89	1.11	1.47	1.23	1.39	1.15	1.01	0.77	1.14
A	ICCS0101	P_HTHAB	Turkey		2.92	2.43	2.29	2.42					2.91	2.44	2.25	2.37	2.36	2.47	2.54
A	ICCS0101	P_HTHAB	England and Wales	1.17	1.08	1.14	0.94	0.97	0.92	0.89	0.95	1.16	1.2	1.14					
A	ICCS0101	P_HTHAB	Scotland	1.83	1.61	1.91	1.76	1.19	1.15	1.16	1.1	1.15	1.09	1.1					
A	ICCS0101	P_HTHAB	Northern Ireland	1.36	1.62	1.28	1.27	1.15	1.09	0.93	1.3	0.97	1.29	1.23					
A	ICCS0101	P_HTHAB	Kosovo	5.25	3.35	4.8	3.46					1.64	1.85	2.39	1.28	1.57			
A	ICCS0102	NR	Albania	242.0	231.0	211.0	214.0	220.0	206.0	181.0	138.0	132.0	129.0	114.0	93.0	114.0	101.0	93.0	94.0
A	ICCS0102	NR	Austria	58.0	102.0	112.0	105.0	109.0	105.0	70.0	96.0	99.0	151.0	131.0	171.0	133.0	121.0	134.0	144.0
A	ICCS0102	NR	Bosnia and Herzegovina	92.0		67.0	50.0	47.0	59.0	70.0	54.0	60.0	59.0	14.0	62.0	67.0	64.0	53.0	43.0
A	ICCS0102	NR	Belgium	682.0	746.0	762.0	858.0	836.0	809.0	849.0	880.0	881.0	971.0	1027.0	1025.0	1017.0	1054.0	1211.0	1239.0
A	ICCS0102	NR	Bulgaria	60.0	66.0	62.0	61.0	45.0	67.0	46.0	33.0	76.0	31.0	46.0	38.0	32.0	28.0	46.0	45.0
A	ICCS0102	NR	Switzerland	111.0	185.0	187.0	184.0	184.0	152.0	132.0	141.0	187.0	191.0	149.0	161.0	206.0	184.0	195.0	229.0
A	ICCS0102	NR	Cyprus	13.0	19.0	11.0	13.0	12.0	8.0	10.0	11.0	7.0	10.0	8.0	15.0	16.0	13.0	17.0	15.0
A	ICCS0102	NR	Czechia	89.0	76.0	68.0	90.0	93.0	92.0	79.0	67.0	71.0	45.0	43.0	62.0	68.0	59.0	63.0	86.0
A	ICCS0102	NR	Germany	1610.0	1649.0	1617.0	1560.0	1588.0	1591.0	1625.0	1551.0	1757.0	1722.0	1927.0	1807.0	1773.0	1551.0	1725.0	1711.0
A	ICCS0102	NR	Denmark	197.0	208.0	152.0	148.0	142.0	165.0	148.0	141.0	194.0	212.0	209.0	149.0	151.0	133.0	140.0	135.0
A	ICCS0102	NR	Estonia	20.0	25.0	14.0	35.0	17.0	10.0	14.0	17.0	11.0	16.0	18.0	11.0	13.0	9.0	9.0	5.0
A	ICCS0102	NR	Greece	165.0	187.0	193.0	182.0	185.0	177.0	155.0	169.0	132.0	150.0	124.0	117.0	129.0	152.0	167.0	192.0
A	ICCS0102	NR	Spain	887.0	831.0	765.0	817.0	761.0	662.0	725.0	715.0	813.0	820.0	829.0	834.0	980.0	1034.0	1215.0	1360.0
A	ICCS0102	NR	Finland	363.0	366.0	307.0	308.0	349.0	264.0	327.0	299.0	311.0	348.0	355.0	329.0	383.0	374.0	349.0	355.0
A	ICCS0102	NR	France	1168.0	1074.0	1210.0	1327.0	1560.0	1503.0	1678.0	2112.0	2259.0	2284.0	2482.0	2718.0	3115.0	3136.0	3584.0	4015.0
A	ICCS0102	NR	Croatia			125.0	123.0	101.0	126.0	113.0	105.0	93.0	125.0	90.0	98.0	108.0	103.0	108.0	111.0
A	ICCS0102	NR	Hungary	145.0	136.0	143.0	133.0	108.0	105.0	106.0	86.0	97.0	72.0	59.0	55.0	92.0	63.0	99.0	83.0
A	ICCS0102	NR	Ireland	11.0	7.0	7.0	8.0	9.0	13.0	15.0	13.0	24.0	13.0	14.0	27.0	19.0	15.0	13.0	14.0
A	ICCS0102	NR	Iceland		4.0	4.0	3.0	6.0	5.0	5.0	1.0	6.0	8.0	5.0	2.0	5.0	8.0	12.0	11.0
A	ICCS0102	NR	Italy	1621.0	1346.0	1309.0	1399.0	1327.0	1222.0	1250.0	1203.0	1079.0	1098.0	1050.0	1019.0	876.0	928.0	1018.0	1033.0
A	ICCS0102	NR	Liechtenstein	1.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0			1.0		4.0	0.0	0.0
A	ICCS0102	NR	Lithuania	15.0	19.0	18.0	23.0	18.0	14.0	19.0	21.0	19.0	16.0	31.0	15.0	11.0	6.0	13.0	4.0
A	ICCS0102	NR	Luxembourg	84.0	79.0	77.0	89.0	110.0	83.0	84.0	65.0	72.0	74.0	69.0	59.0	96.0	69.0	90.0	
A	ICCS0102	NR	Latvia	20.0	0.0	13.0	22.0	13.0	5.0	4.0	2.0	14.0	18.0	23.0	30.0	20.0	19.0	24.0	23.0
A	ICCS0102	NR	Montenegro	18.0	41.0	42.0	17.0	16.0	40.0	54.0	40.0	35.0	51.0	37.0	42.0	37.0	36.0	27.0	33.0
A	ICCS0102	NR	North Macedonia	41.0	46.0	38.0	39.0	48.0	52.0	75.0	47.0	58.0	56.0		24.0		31.0	29.0	24.0
A	ICCS0102	NR	Malta	5.0	6.0	4.0	6.0	6.0	3.0	5.0	1.0	1.0	6.0	6.0	5.0	4.0	8.0	5.0	2.0
A	ICCS0102	NR	Netherlands	1500.0	3041.0	3841.0	3957.0	3615.0	3260.0										
A	ICCS0102	NR	Norway	49.0	46.0	47.0	39.0	50.0	57.0	60.0	61.0	41.0	49.0	70.0	68.0	87.0	83.0	77.0	109.0
A	ICCS0102	NR	Poland	298.0	266.0	241.0	209.0	201.0	233.0	210.0	172.0	170.0	221.0	230.0	293.0	329.0	314.0	239.0	265.0
A	ICCS0102	NR	Romania	410.0	387.0	513.0	502.0	591.0	595.0	492.0	482.0	438.0	384.0	445.0	361.0	335.0	300.0	299.0	252.0
A	ICCS0102	NR	Serbia	204.0	211.0	204.0	186.0	203.0	221.0	172.0	138.0	152.0	111.0	95.0	137.0	124.0	123.0	140.0	143.0
A	ICCS0102	NR	Sweden	751.0	791.0	792.0	842.0	798.0	728.0	792.0	838.0	879.0	909.0	868.0	983.0	1085.0	993.0	1016.0	1329.0
