freq	iccs	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0101	P_HTHAB	SK	1.75 	1.56 	1.65 	1.78 	1.39 	1.44 	1.33 	0.89 	1.11 	1.47 	1.23 	1.39 	1.15 	1.01 	0.77 	1.14 
A	ICCS0101	P_HTHAB	TR		2.92 	2.43 	2.29 	2.42 					2.91 	2.44 	2.25 	2.37 	2.36 	2.47 	2.54 
A	ICCS0101	P_HTHAB	UKC-L	1.17 	1.08 	1.14 	0.94 	0.97 	0.92 	0.89 	0.95 	1.16 	1.20 	1.14 					
A	ICCS0101	P_HTHAB	UKM	1.83 	1.61 	1.91 	1.76 	1.19 	1.15 	1.16 	1.10 	1.15 	1.09 	1.10 					
A	ICCS0101	P_HTHAB	UKN	1.36 	1.62 	1.28 	1.27 	1.15 	1.09 	0.93 	1.30 	0.97 	1.29 	1.23 					
A	ICCS0101	P_HTHAB	XK	5.25 	3.35 	4.80 	3.46 					1.64 	1.85 	2.39 	1.28 	1.57 			
A	ICCS0102	NR	AL	242 	231 	211 	214 	220 	206 	181 	138 	132 	129 	114 	93 	114 	101 	93 	94 
A	ICCS0102	NR	AT	58 	102 	112 	105 	109 	105 	70 	96 	99 	151 	131 	171 	133 	121 	134 	144 
A	ICCS0102	NR	BA	92 		67 	50 	47 	59 	70 	54 	60 	59 	14 	62 	67 	64 	53 	43 
A	ICCS0102	NR	BE	682 	746 	762 	858 	836 	809 	849 	880 	881 	971 	1027 	1025 	1017 	1054 	1211 	1239 
A	ICCS0102	NR	BG	60 	66 	62 	61 	45 	67 	46 	33 	76 	31 	46 	38 	32 	28 	46 	45 
A	ICCS0102	NR	CH	111 	185 	187 	184 	184 	152 	132 	141 	187 	191 	149 	161 	206 	184 	195 	229 
A	ICCS0102	NR	CY	13 	19 	11 	13 	12 	8 	10 	11 	7 	10 	8 	15 	16 	13 	17 	15 
A	ICCS0102	NR	CZ	89 	76 	68 	90 	93 	92 	79 	67 	71 	45 	43 	62 	68 	59 	63 	86 
A	ICCS0102	NR	DE	1610 	1649 	1617 	1560 	1588 	1591 	1625 	1551 	1757 	1722 	1927 	1807 	1773 	1551 	1725 	1711 
A	ICCS0102	NR	DK	197 	208 	152 	148 	142 	165 	148 	141 	194 	212 	209 	149 	151 	133 	140 	135 
A	ICCS0102	NR	EE	20 	25 	14 	35 	17 	10 	14 	17 	11 	16 	18 	11 	13 	9 	9 	5 
A	ICCS0102	NR	EL	165 	187 	193 	182 	185 	177 	155 	169 	132 	150 	124 	117 	129 	152 	167 	192 
A	ICCS0102	NR	ES	887 	831 	765 	817 	761 	662 	725 	715 	813 	820 	829 	834 	980 	1034 	1215 	1360 
A	ICCS0102	NR	FI	363 	366 	307 	308 	349 	264 	327 	299 	311 	348 	355 	329 	383 	374 	349 	355 
A	ICCS0102	NR	FR	1168 	1074 	1210 	1327 	1560 	1503 	1678 	2112 	2259 	2284 	2482 	2718 	3115 	3136 	3584 	4015 
A	ICCS0102	NR	HR			125 	123 	101 	126 	113 	105 	93 	125 	90 	98 	108 	103 	108 	111 
A	ICCS0102	NR	HU	145 	136 	143 	133 	108 	105 	106 	86 	97 	72 	59 	55 	92 	63 	99 	83 
A	ICCS0102	NR	IE	11 	7 	7 	8 	9 	13 	15 	13 	24 	13 	14 	27 	19 	15 	13 	14 
A	ICCS0102	NR	IS		4 	4 	3 	6 	5 	5 	1 	6 	8 	5 	2 	5 	8 	12 	11 
A	ICCS0102	NR	IT	1621 	1346 	1309 	1399 	1327 	1222 	1250 	1203 	1079 	1098 	1050 	1019 	876 	928 	1018 	1033 
A	ICCS0102	NR	LI	1 	0 	0 	3 	0 	0 	1 	0 	0 			1 		4 	0 	0 
A	ICCS0102	NR	LT	15 	19 	18 	23 	18 	14 	19 	21 	19 	16 	31 	15 	11 	6 	13 	4 
A	ICCS0102	NR	LU	84 	79 	77 	89 	110 	83 	84 	65 	72 	74 	69 	59 	96 	69 	90 	
A	ICCS0102	NR	LV	20 	0 	13 	22 	13 	5 	4 	2 	14 	18 	23 	30 	20 	19 	24 	23 
A	ICCS0102	NR	ME	18 	41 	42 	17 	16 	40 	54 	40 	35 	51 	37 	42 	37 	36 	27 	33 
A	ICCS0102	NR	MK	41 	46 	38 	39 	48 	52 	75 	47 	58 	56 		24 		31 	29 	24 
A	ICCS0102	NR	MT	5 	6 	4 	6 	6 	3 	5 	1 	1 	6 	6 	5 	4 	8 	5 	2 
