freq	unit	iccs	geo	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
A	NR	ICCS0401	RS								32511 	39627 	27333 	21126 	22893.0	23854.0	23785.0	24272 
A	NR	ICCS0401	SE	6101 	5331 	5747 	5821 	6641 	6713 	8628 	8999 	8538 	8974 	8575 	8590.0	9398.0	8584.0	8673 
A	NR	ICCS0401	SI	205 	275 	292 	507 	341 	379 	463 	474 	503 	449 	349 	398.0	429.0	525.0	450 
A	NR	ICCS0401	SK					1199 	1231 	1437 	1264 	1366 	1578 	1918 	2156.0	1919.0	1594.0	1429 
A	NR	ICCS0401	TR	353 	262 	1809 	1671 	1491 	1656 	1585 	1858 	3109 	3943 	4827 	10864.0	15147.0	21609.0	12657 
A	NR	ICCS0401	UKC-L	57845 	60007 	68074 	74035 	63072 	66835 	84277 	95154 	121359 	110271 	103736 	91010.0	98198.0	101376.0	84773 
A	NR	ICCS0401	UKM	5582 	5297 	5330 	5254 	4484 	4951 	5075 	4420 	4228 	4938 	4159 	3736.0	3553.0	3578.0	3064 
A	NR	ICCS0401	UKN	1723 	1567 	1539 	1725 	1653 	1395 	1383 	1767 	2222 	2497 	1973 	1487.0	1744.0	1574.0	1143 
A	NR	ICCS05012	AT		14160 	13721 	13849 	12826 	11811 	10111 	13262 	13008 	12674 	13429 	20276.0	21227.0	18945.0	20040 
A	NR	ICCS05012	BE								83315 	77330 	79203 	63994 	57484.0	56978.0	63615.0	62964 
A	NR	ICCS05012	BG			80671 	70126 	85356 	43830 	33004 	39455 	36269 	31639 	28210 	25565.0	22379.0	23460.0	22208 
A	NR	ICCS05012	CH	69278 	66466 	67044 	74321 	82559 	83416 	76322 	60384 	57375 	60822 	68551 	70370.0	61194.0	56706.0	57493 
A	NR	ICCS05012	CY	1443 	1287 	1002 	1316 	1083 	1347 	1026 	1010 	792 	1228 	3159 	3311.0	2812.0	3084.0	2656 
A	NR	ICCS05012	CZ	17632 	14804 	13936 	13538 	13068 	12752 	12445 	11294 	10590 	11933 	12164 	11670.0	10361.0	9603.0	9163 
A	NR	ICCS05012	DE	227090 	210982 	211221 	195801 	182009 	166742 	149044 	140015 	133722 	130055 	123280 	124155.0	109736.0	106107.0	109128 
A	NR	ICCS05012	DK	35562 	31864 	32363 	33502 	34648 	31463 	34311 	32846 	32274 	35557 	33879 	32956.0	29439.0	31204.0	36342 
A	NR	ICCS05012	EE	7137 	6878 	8175 	6864 	6610 	7026 	7588 	7285 	7652 	7356 	6495 	5752.0	4766.0	3928.0	3096 
A	NR	ICCS05012	EL	32803 	34011 	42377 	42825 	44286 	43228 	36947 	31840 	31903 	31805 	31181 	26489.0	37595.0	42069.0	49886 
A	NR	ICCS05012	ES			76610 	80808 	84430 	89428 	91553 	90518 	99066 	93751 	88128 	81552.0	81495.0	80981.0	72723 
A	NR	ICCS05012	FI	13194 	12829 	11512 	10311 	10436 	10291 	9763 	9264 	7957 	7406 	7373 	7901.0	7281.0	5923.0	6532 
A	NR	ICCS05012	FR	248002 	246641 	237624 	236272 	213561 	207274 	191102 	186492 	210850 	224223 	216797 	202880.0	181503.0	177840.0	165780 
