freq	leg_stat	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	PER_CNV	NR	SE	69454 	71715 	74510 	73680 	71110 	64391 	60662 	59344 	56659 	57372 	60565 	62708 	68996 	74581 	76636 	80008 
A	PER_CNV	NR	SI	9228 	8453 	8423 	7965 	8825 	11758 	9729 	8241 	7006 	6521 	6324 	6256 	5007 	5974 	5567 	5258 
A	PER_CNV	NR	SK	28681 	30953 	31179 	30110 	35077 	36079 	33610 	29691 	27208 	26330 	29385 	28431 	25392 	23642 	25254 	23963 
A	PER_CNV	NR	TR		1288334 	1213217 	1237448 	1514825 	500608 	492869 	521213 	459195 	445436 	555369 	592398 	492323 	692281 	682380 	682243 
A	PER_CNV	NR	UKC-L	1355146 	1399856 	1359715 	1306509 	1224976 	1172953 	1211152 	1241080 	1231726 							
A	PER_CNV	NR	UKM	60399 	56428 	54766 	53249 	48105 	45659 				82716 						
A	PER_CNV	NR	UKN	39018 	39539 	39628 	40538 	38914 	35276 	26607 	24379 	22956 	23630 	24921 					
A	PER_CNV	NR	XK	13254 	13415 	9925 	18367 	20990 	15832 	18330 	16907 	18554 	19519 	20434 	18001 				
A	PER_CNV	P_HTHAB	AL	252.65 	240.84 		344.45 			470.24 	559.33 	508.21 	379.30 	404.62 	386.11 	346.21 	445.38 	408.86 	320.66 
A	PER_CNV	P_HTHAB	AT	460.11 	454.32 	459.72 	435.35 	422.70 	407.29 	387.69 	374.50 	349.98 	350.47 	313.47 	307.99 	266.44 	265.67 	272.48 	274.94 
A	PER_CNV	P_HTHAB	BA	440.99 	460.64 	449.89 	408.75 	464.83 											
A	PER_CNV	P_HTHAB	BE			1300.66 	1298.85 	1472.06 	1270.93 	1051.21 	1175.75 	385.27 	2099.12 	2014.28 	1771.98 	1388.22 			
A	PER_CNV	P_HTHAB	BG	480.67 	547.36 	526.42 	556.53 	518.56 	468.29 	439.56 	385.81 	395.61 	363.29 	340.04 	334.13 	314.88 	348.74 	370.95 	357.29 
A	PER_CNV	P_HTHAB	CH	1317.55 	1331.19 	1373.46 	1294.81 	1371.81 	1332.23 	1337.62 	1320.99 	1301.69 	1248.95 	1251.57 	1137.22 	1129.09 	1140.81 	1183.73 	1201.49 
A	PER_CNV	P_HTHAB	CY	8214.90 	7838.33 	9240.54 	10337.95 	8299.78 	7023.97 	8007.93 	6386.60 	5342.80 	5086.21 	4570.74 	4563.88 	4002.34 	3745.84 	4087.96 	
A	PER_CNV	P_HTHAB	CZ	733.63 	707.74 	675.30 	669.04 	680.32 	741.49 	692.75 	622.20 	582.00 	526.57 	513.17 	522.02 	426.02 	473.06 	477.59 	474.71 
A	PER_CNV	P_HTHAB	DE	1063.87 	1029.87 	994.19 	1006.97 	963.43 	938.78 	927.08 	910.73 	897.92 	867.70 	860.39 	877.95 	840.80 	796.22 	777.75 	790.32 
A	PER_CNV	P_HTHAB	DK	2978.47 	3143.55 	3317.21 	3604.84 	3756.50 	3680.67 	3720.97 	3448.44 	3324.72 	3095.18 	3162.05 	885.95 	966.55 	904.74 	896.89 	964.56 
A	PER_CNV	P_HTHAB	EE	864.74 	590.01 	684.85 	751.47 	727.28 	642.11 	582.91 	560.89 	578.98 	510.32 	432.25 	430.47 	372.39 	343.52 	288.11 	
A	PER_CNV	P_HTHAB	EL														50.81 	45.55 	41.23 
