freq	leg_stat	sex	unit	geo	2022 	2023 
A	CRIM	CRT_BGHT	NR	ES	766522 	795592 
A	CRIM	CRT_BGHT	NR	FI	64657 	69860 
A	CRIM	CRT_BGHT	NR	FR	980570 	970491 
A	CRIM	CRT_BGHT	NR	HR	161484 	160011 
A	CRIM	CRT_BGHT	NR	HU	367009 	371864 
A	CRIM	CRT_BGHT	NR	IE	360029 	349283 
A	CRIM	CRT_BGHT	NR	IT	1100891 	1106619 
A	CRIM	CRT_BGHT	NR	LT	15413 	15258 
A	CRIM	CRT_BGHT	NR	LV	8930 	9350 
A	CRIM	CRT_BGHT	NR	MT	12317 	13716 
A	CRIM	CRT_BGHT	NR	NL	260380 	256295 
A	CRIM	CRT_BGHT	NR	PL	2027558 	2009191 
A	CRIM	CRT_BGHT	NR	PT	78716 	78536 
A	CRIM	CRT_BGHT	NR	RO	366408 	373810 
A	CRIM	CRT_BGHT	NR	SE	122018 	126223 
A	CRIM	CRT_BGHT	NR	SI	72615 	73754 
A	CRIM	CRT_BGHT	NR	SK	65246 	65612 
A	CRIM	CRT_BGHT	P_HTHAB	AT	763.44 	792.15 
A	CRIM	CRT_BGHT	P_HTHAB	BE	1845.88 	1654.96 
A	CRIM	CRT_BGHT	P_HTHAB	BG	1815.75 	2035.17 
A	CRIM	CRT_BGHT	P_HTHAB	CY	9032.34 	7573.30 
A	CRIM	CRT_BGHT	P_HTHAB	CZ	620.91 	627.48 
A	CRIM	CRT_BGHT	P_HTHAB	DE	1301.79 	1308.06 
A	CRIM	CRT_BGHT	P_HTHAB	DK	2612.26 	2713.04 
A	CRIM	CRT_BGHT	P_HTHAB	EE	1314.92 	1192.56 
A	CRIM	CRT_BGHT	P_HTHAB	EL	2528.70 	1908.50 
A	CRIM	CRT_BGHT	P_HTHAB	ES	1616.01 	1654.54 
A	CRIM	CRT_BGHT	P_HTHAB	FI	1165.36 	1255.58 
A	CRIM	CRT_BGHT	P_HTHAB	FR	1444.74 	1421.40 
A	CRIM	CRT_BGHT	P_HTHAB	HR	4181.03 	4155.17 
A	CRIM	CRT_BGHT	P_HTHAB	HU	3787.89 	3873.69 
A	CRIM	CRT_BGHT	P_HTHAB	IE	7115.19 	6626.01 
A	CRIM	CRT_BGHT	P_HTHAB	IT	1864.96 	1875.71 
A	CRIM	CRT_BGHT	P_HTHAB	LT	549.29 	534.00 
A	CRIM	CRT_BGHT	P_HTHAB	LV	476.07 	496.55 
A	CRIM	CRT_BGHT	P_HTHAB	MT	2364.24 	2530.39 
A	CRIM	CRT_BGHT	P_HTHAB	NL	1480.22 	1438.95 
A	CRIM	CRT_BGHT	P_HTHAB	PL	5384.67 	5466.63 
A	CRIM	CRT_BGHT	P_HTHAB	PT	760.39 	746.78 
A	CRIM	CRT_BGHT	P_HTHAB	RO	1924.16 	1961.79 
A	CRIM	CRT_BGHT	P_HTHAB	SE	1167.38 	1199.66 
A	CRIM	CRT_BGHT	P_HTHAB	SI	3446.07 	3483.94 
A	CRIM	CRT_BGHT	P_HTHAB	SK	1200.54 	1208.59 
A	CRIM	CRT_PEN	NR	AT	22885 	21606 
A	CRIM	CRT_PEN	NR	BE		36188 
A	CRIM	CRT_PEN	NR	BG	21007 	19846 
A	CRIM	CRT_PEN	NR	CY	58385 	54300 
A	CRIM	CRT_PEN	NR	CZ	10151 	9843 
A	CRIM	CRT_PEN	NR	DK	32254 	40952 
A	CRIM	CRT_PEN	NR	EE	1693 	1372 
A	CRIM	CRT_PEN	NR	EL	113307 	174083 
A	CRIM	CRT_PEN	NR	ES	419948 	484486 
A	CRIM	CRT_PEN	NR	FI	29093 	31575 
A	CRIM	CRT_PEN	NR	HR	113008 	119723 
A	CRIM	CRT_PEN	NR	HU	44923 	46148 
A	CRIM	CRT_PEN	NR	IT	1118090 	944012 
A	CRIM	CRT_PEN	NR	LT	3110 	3009 
A	CRIM	CRT_PEN	NR	LV	4308 	4542 
A	CRIM	CRT_PEN	NR	MT	16499 	19860 
A	CRIM	CRT_PEN	NR	NL	60750 	59282 
A	CRIM	CRT_PEN	NR	PL	383288 	375593 
A	CRIM	CRT_PEN	NR	PT	45325 	47660 
A	CRIM	CRT_PEN	NR	RO	111047 	118121 
A	CRIM	CRT_PEN	NR	SE	46430 	46368 
A	CRIM	CRT_PEN	NR	SI	29740 	30885 
A	CRIM	CRT_PEN	NR	SK	23645 	23904 
A	CRIM	CRT_PEN	P_HTHAB	AT	254.87 	237.30 
A	CRIM	CRT_PEN	P_HTHAB	BE		308.17 
A	CRIM	CRT_PEN	P_HTHAB	BG	307.17 	307.80 
A	CRIM	CRT_PEN	P_HTHAB	CY	6453.48 	5721.31 
A	CRIM	CRT_PEN	P_HTHAB	CZ	96.52 	90.91 
A	CRIM	CRT_PEN	P_HTHAB	DK	549.15 	690.28 
A	CRIM	CRT_PEN	P_HTHAB	EE	127.12 	100.45 
A	CRIM	CRT_PEN	P_HTHAB	EL	1083.26 	1671.63 
A	CRIM	CRT_PEN	P_HTHAB	ES	885.35 	1007.55 
A	CRIM	CRT_PEN	P_HTHAB	FI	524.36 	567.49 
A	CRIM	CRT_PEN	P_HTHAB	HR	2925.92 	3108.97 
A	CRIM	CRT_PEN	P_HTHAB	HU	463.65 	480.72 
