freq,leg_case,leg_stat,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,ADM,CRT_PEN,NR,HR	36871 	36449 	35303 	32568 	7075 	12003 	13978 	15024 	13693 	10566 	8421 	7278 	6434 	6194 	5325 
A,ADM,CRT_PEN,NR,HU	6230 	6951 	7584 	6483 	5479 	5320 	6734 	5776 	5827 	5467 	5180 	4768 	7889 	6277 	6602 
A,ADM,CRT_PEN,NR,IT	671288 	629493 	504382 	441496 	320829 	298221 	267247 	241865 	212095 	184410 	165896 	149958 	135451 	124196 	108292 
A,ADM,CRT_PEN,NR,LT	1592 	1507 	2777 	2830 	2984 	9188 	10701 	10749 	4126 	2604 	4455 	3799 	4695 	4945 	5304 
A,ADM,CRT_PEN,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1428 	1525 
A,ADM,CRT_PEN,NR,LV	4265 	5350 	5449 	5507 	4349 	2570 	1545 	1300 	1409 	1407 	1311 	1212 	1094 	1236 	1103 
A,ADM,CRT_PEN,NR,ME	1620 	1282 	1220 	1264 	1701 	1473 	1810 	2157 	2719 	10740 	10394 	10074 	8505 	9040 	17092 
A,ADM,CRT_PEN,NR,MT	: 	: 	: 	: 	: 	753 	683 	418 	413 	374 	381 	361 	344 	385 	397 
A,ADM,CRT_PEN,NR,PL	: 	17558 	21267 	21837 	22131 	28070 	30991 	33167 	30867 	25726 	22374 	23363 	26785 	33017 	34155 
A,ADM,CRT_PEN,NR,PT	: 	: 	: 	: 	: 	: 	: 	75721 	72816 	70302 	67659 	66145 	60473 	58207 	55368 
A,ADM,CRT_PEN,NR,RO	18628 	27282 	52358 	91848 	140907 	110336 	84190 	59059 	69388 	66285 	52297 	52333 	55221 	55049 	54550 
A,ADM,CRT_PEN,NR,RS	: 	: 	: 	: 	: 	24988 	24262 	25896 	28176 	30750 	37514 	38769 	48011 	64836 	103198 
A,ADM,CRT_PEN,NR,SE	40732 	46401 	58528 	50389 	42450 	42542 	38990 	33760 	43229 	59263 	64585 	61674 	57374 	51411 	46215 
A,ADM,CRT_PEN,NR,SI	4285 	3057 	2300 	2416 	1923 	1818 	1669 	1617 	2000 	3294 	3599 	3946 	3751 	3898 	3946 
A,ADM,CRT_PEN,NR,SK	187 	163 	141 	116 	100 	106 	123 	128 	121 	5166 	5352 	6381 	7052 	8143 	8501 
A,ADM,CRT_PEN,NR,TR	: 	160445 	198349 	169291 	127635 	164392 	148044 	168262 	209919 	146903 	151004 	187073 	197572 	198902 	212806 
A,ADM,CRT_PEN,NR,UKC-L	462526 	627688 	727299 	746765 	836476 	862897 	366596 	396463 	450710 	: 	: 	: 	: 	: 	: 
A,ADM,CRT_PEN,NR,XK	1087 	792 	1028 	1384 	1616 	2560 	4039 	5380 	5192 	5304 	6093 	6315 	: 	: 	: 
A,ADM,CRT_PEN,P_HTHAB,AL	: 	: 	: 	: 	: 	: 	132.63 	114.87 	123.84 	104.92 	106.40 	156.72 	208.96 	193.45 	: 
A,ADM,CRT_PEN,P_HTHAB,BA	198.37 	233.66 	28.80 	301.81 	302.51 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,ADM,CRT_PEN,P_HTHAB,BG	: 	: 	: 	116.44 	148.57 	118.37 	116.54 	121.30 	107.83 	132.50 	135.15 	142.96 	143.28 	143.28 	142.38 
A,ADM,CRT_PEN,P_HTHAB,CH	60.37 	184.24 	170.40 	214.88 	190.96 	: 	: 	: 	54.29 	: 	: 	: 	: 	: 	: 
A,ADM,CRT_PEN,P_HTHAB,CZ	: 	: 	: 	84.02 	85.33 	81.79 	86.20 	86.81 	95.71 	100.86 	113.95 	106.42 	91.49 	74.97 	57.03 
A,ADM,CRT_PEN,P_HTHAB,DE	140.88 	136.10 	135.78 	132.63 	131.67 	137.79 	155.01 	150.91 	230.21 	409.68 	382.37 	336.00 	292.25 	270.77 	243.68 
A,ADM,CRT_PEN,P_HTHAB,EE	: 	: 	99.68 	55.05 	77.42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,ADM,CRT_PEN,P_HTHAB,EL	: 	: 	: 	: 	: 	3137.14 	2826.65 	2428.89 	2205.09 	1849.83 	1512.78 	1301.61 	1034.96 	926.17 	810.98 
A,ADM,CRT_PEN,P_HTHAB,ES	686.34 	718.99 	703.32 	718.95 	608.75 	484.24 	438.45 	379.81 	338.96 	326.75 	333.73 	363.20 	362.27 	370.02 	380.03 
A,ADM,CRT_PEN,P_HTHAB,FI	211.89 	230.55 	234.26 	218.78 	212.67 	218.73 	256.12 	255.17 	325.95 	295.30 	247.26 	245.40 	262.99 	330.79 	307.92 
A,ADM,CRT_PEN,P_HTHAB,FR	: 	: 	: 	270.95 	251.61 	238.15 	247.89 	251.74 	: 	: 	: 	: 	: 	: 	: 
A,ADM,CRT_PEN,P_HTHAB,HR	855.09 	845.72 	820.46 	759.19 	165.46 	281.62 	329.14 	355.57 	326.75 	254.34 	205.12 	178.55 	158.54 	153.46 	137.87 
A,ADM,CRT_PEN,P_HTHAB,HU	62.02 	69.30 	75.73 	64.92 	55.17 	53.69 	68.18 	58.61 	59.27 	55.80 	52.97 	48.79 	80.75 	64.51 	68.14 
A,ADM,CRT_PEN,P_HTHAB,IT	1144.51 	1066.93 	852.14 	743.70 	540.17 	499.66 	439.68 	397.83 	349.61 	304.36 	274.28 	250.70 	227.11 	209.66 	183.45 
