freq,leg_stat,sex,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER_CNV,F,P_HTHAB,PT	167.55 	152.47 	150.97 	155.51 	168.54 	161.48 	124.97 	138.34 	135.68 	120.87 	117.49 	114.73 	83.55 	100.41 	110.07 	99.60 
A,PER_CNV,F,P_HTHAB,RO	22.55 	17.37 	19.19 	23.36 	27.31 	25.16 	28.02 	28.32 	24.88 	19.82 	24.53 	55.90 	50.28 	56.03 	57.39 	50.03 
A,PER_CNV,F,P_HTHAB,RS	103.74 	103.36 	61.04 	83.86 	87.24 	90.43 	95.31 	88.38 	88.15 	84.60 	86.16 	83.56 	80.40 	84.36 	80.51 	89.72 
A,PER_CNV,F,P_HTHAB,SE	112.16 	117.77 	123.21 	118.62 	115.19 	197.79 	195.74 	193.74 	183.96 	173.81 	184.79 	186.33 	209.54 	237.30 	240.45 	254.86 
A,PER_CNV,F,P_HTHAB,SI	103.64 	95.10 	91.88 	92.99 	107.44 	135.22 	134.68 	109.26 	98.57 	85.32 	77.13 	86.74 	71.40 	88.94 	75.85 	67.67 
A,PER_CNV,F,P_HTHAB,SK	146.79 	165.77 	166.25 	167.53 	187.23 	189.81 	184.23 	166.97 	157.54 	156.81 	170.28 	160.15 	140.52 	117.46 	142.68 	141.87 
A,PER_CNV,F,P_HTHAB,TR	: 	260.29 	238.51 	216.52 	271.35 	91.09 	85.58 	92.72 	81.28 	76.23 	97.90 	104.14 	82.63 	112.98 	111.74 	117.59 
A,PER_CNV,F,P_HTHAB,UKC-L	1036.73 	1123.86 	1081.79 	1055.14 	1028.51 	990.29 	1056.73 	1075.56 	1051.38 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,F,P_HTHAB,UKM	375.60 	348.95 	337.90 	325.96 	297.11 	272.24 	: 	: 	: 	522.68 	: 	: 	: 	: 	: 	: 
A,PER_CNV,F,P_HTHAB,UKN	842.04 	852.73 	846.75 	859.94 	927.92 	851.72 	472.46 	435.83 	409.59 	472.56 	: 	: 	: 	: 	: 	: 
A,PER_CNV,F,P_HTHAB,XK	42.51 	47.25 	37.06 	73.60 	: 	: 	: 	: 	98.39 	112.17 	114.68 	103.38 	: 	: 	: 	: 
A,PER_CNV,M,NR,AL	: 	7143 	7945 	9243 	9189 	8239 	13217 	15260 	13638 	9878 	10773 	10317 	9328 	11901 	10852 	8395 
A,PER_CNV,M,NR,AT	32820 	32531 	32833 	31035 	30346 	29266 	28033 	27563 	26110 	26378 	23541 	23181 	20096 	20100 	20759 	21107 
