freq,leg_stat,sex,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER_SUSP,F,NR,CZ	15237 	15958 	14804 	15260 	14443 	16738 	16962 	15925 	15422 	14831 	14428 	14860 	12032 	11150 	11787 	12609 
A,PER_SUSP,F,NR,DE	520964 	526879 	520668 	513089 	510214 	539061 	552263 	587648 	593067 	529617 	510136 	504544 	488365 	472409 	528542 	571226 
A,PER_SUSP,F,NR,DK	: 	: 	: 	: 	: 	: 	: 	3491 	3453 	3228 	3091 	3425 	3549 	3436 	3810 	3600 
A,PER_SUSP,F,NR,EL	: 	: 	: 	: 	: 	: 	24252 	26615 	18053 	19200 	20901 	19527 	18874 	20571 	25278 	31007 
A,PER_SUSP,F,NR,ES	28363 	33776 	33168 	42054 	44966 	49456 	48196 	64638 	63471 	64901 	67427 	69542 	71484 	79179 	89861 	100041 
A,PER_SUSP,F,NR,FI	87219 	102259 	108390 	112344 	100511 	110481 	108214 	110176 	4073 	114759 	131022 	123202 	80183 	34717 	33148 	35182 
A,PER_SUSP,F,NR,FR	177216 	182884 	184052 	189956 	198930 	196271 	198051 	196725 	193952 	203093 	271887 	272248 	246583 	266623 	264011 	286782 
A,PER_SUSP,F,NR,HR	3575 	3510 	3285 	3519 	3041 	2700 	2442 	2468 	2545 	2437 	2334 	2456 	2477 	2971 	3110 	3276 
A,PER_SUSP,F,NR,HU	25619 	24833 	29155 	27764 	26085 	24882 	20299 	17396 	15409 	14663 	9619 	27141 	23269 	25783 	26814 	29651 
A,PER_SUSP,F,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22806 	19933 	17440 	19570 	21610 
A,PER_SUSP,F,NR,IS	: 	: 	: 	: 	: 	: 	1044 	903 	1010 	1144 	1237 	1180 	1172 	1281 	1188 	1313 
A,PER_SUSP,F,NR,IT	153975 	154136 	156993 	164691 	176933 	190386 	189276 	185018 	154675 	150809 	158852 	154610 	143059 	154898 	150198 	140662 
A,PER_SUSP,F,NR,LI	305 	232 	208 	279 	82 	: 	360 	384 	381 	: 	: 	95 	104 	: 	: 	: 
A,PER_SUSP,F,NR,LT	2247 	2258 	25 	24 	27 	3449 	3554 	2807 	2289 	2969 	2491 	2562 	2812 	2652 	2780 	2677 
A,PER_SUSP,F,NR,LU	4481 	5204 	4778 	5881 	: 	6866 	7371 	6752 	7182 	5574 	5727 	6499 	7274 	6811 	7229 	: 
A,PER_SUSP,F,NR,LV	: 	: 	3342 	3208 	3274 	2946 	2829 	2915 	2150 	2204 	1900 	1893 	1723 	1713 	1706 	1796 
A,PER_SUSP,F,NR,ME	: 	: 	: 	: 	: 	: 	275 	299 	255 	318 	371 	381 	542 	575 	395 	434 
A,PER_SUSP,F,NR,MT	683 	770 	1038 	1209 	1184 	1152 	1243 	1200 	1258 	1099 	1247 	1055 	1018 	1210 	1247 	1442 
A,PER_SUSP,F,NR,NL	70640 	64475 	60975 	59630 	58745 	56495 	39929 	46555 	33268 	31790 	30040 	30110 	26420 	23360 	26620 	25430 
A,PER_SUSP,F,NR,NO	14604 	13980 	13868 	13630 	13322 	13252 	13284 	13537 	13361 	12274 	11780 	11272 	11609 	11480 	11054 	11131 
A,PER_SUSP,F,NR,PL	50630 	58040 	51721 	51611 	49952 	44452 	40802 	36009 	36635 	37556 	37823 	39941 	36289 	37503 	38724 	39159 
A,PER_SUSP,F,NR,RO	27268 	28175 	27997 	23927 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,F,NR,RS	5711 	5381 	4935 	5035 	5018 	5455 	5041 	5388 	5684 	5955 	6020 	6130 	5713 	5869 	5944 	5977 
A,PER_SUSP,F,NR,SE	38893 	41511 	41670 	40267 	38580 	36019 	36540 	40007 	35136 	34748 	36338 	39649 	44921 	43710 	42697 	45051 
A,PER_SUSP,F,NR,SI	2713 	3139 	3554 	3360 	3469 	3834 	3718 	3409 	2795 	3198 	3334 	3384 	3121 	2930 	3368 	3352 
A,PER_SUSP,F,NR,SK	7145 	8013 	7624 	8247 	7888 	8022 	7656 	7042 	6500 	7074 	6764 	6464 	5420 	5102 	5693 	5666 
A,PER_SUSP,F,NR,TR	: 	165781 	199210 	214402 	254417 	: 	: 	: 	22790 	21173 	24259 	30470 	: 	: 	: 	: 
A,PER_SUSP,F,NR,UKN	14505 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,F,NR,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	3379 	3387 	3514 	2803 	: 	: 	: 
A,PER_SUSP,F,P_HTHAB,AT	1113.12 	1116.37 	1129.92 	1206.41 	1213.35 	1257.42 	1220.38 	1145.16 	1191.69 	1210.62 	1263.27 	1370.74 	1240.39 	1214.47 	1384.01 	1587.22 
A,PER_SUSP,F,P_HTHAB,BA	: 	: 	: 	: 	3.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,F,P_HTHAB,BE	812.49 	856.59 	869.13 	890.42 	863.48 	857.79 	852.34 	773.31 	: 	685.56 	685.14 	695.42 	1195.90 	907.54 	675.92 	665.80 
A,PER_SUSP,F,P_HTHAB,BG	155.56 	161.12 	185.04 	171.59 	162.45 	161.25 	205.85 	147.32 	153.57 	189.93 	190.87 	178.73 	169.10 	169.34 	177.36 	188.46 
A,PER_SUSP,F,P_HTHAB,CH	: 	708.17 	662.99 	633.23 	639.49 	633.90 	608.45 	626.35 	623.26 	607.83 	630.39 	629.47 	602.10 	605.31 	630.32 	665.91 
A,PER_SUSP,F,P_HTHAB,CY	: 	98.03 	: 	156.62 	196.61 	124.76 	168.46 	136.72 	148.75 	150.18 	116.55 	124.09 	123.70 	132.87 	194.99 	139.27 
A,PER_SUSP,F,P_HTHAB,CZ	288.67 	300.58 	277.96 	285.79 	270.10 	312.76 	317.04 	297.03 	287.32 	275.76 	267.67 	274.90 	221.91 	209.43 	221.02 	228.47 
A,PER_SUSP,F,P_HTHAB,DE	1242.06 	1259.93 	1248.64 	1248.47 	1241.46 	1310.22 	1340.10 	1420.74 	1423.54 	1266.28 	1216.09 	1199.79 	1159.21 	1121.35 	1253.35 	1353.65 
A,PER_SUSP,F,P_HTHAB,DK	: 	: 	: 	: 	: 	: 	: 	122.55 	120.34 	111.75 	106.41 	117.41 	121.30 	117.06 	129.13 	120.66 
A,PER_SUSP,F,P_HTHAB,EL	: 	: 	: 	: 	: 	: 	432.02 	476.15 	324.72 	346.14 	377.88 	353.99 	342.97 	375.21 	472.92 	582.77 
A,PER_SUSP,F,P_HTHAB,ES	122.90 	144.60 	141.11 	178.06 	189.58 	208.59 	203.92 	273.62 	268.57 	273.92 	283.59 	290.63 	296.20 	327.57 	371.36 	408.00 
A,PER_SUSP,F,P_HTHAB,FI	1761.69 	2038.18 	2159.01 	2231.07 	1972.61 	4002.86 	3905.37 	3963.32 	146.20 	4111.80 	4689.41 	4408.53 	2866.72 	1239.90 	1181.69 	1251.81 
A,PER_SUSP,F,P_HTHAB,FR	536.58 	550.82 	551.76 	566.77 	590.97 	580.21 	582.41 	573.81 	563.96 	588.75 	785.53 	784.54 	707.99 	762.95 	751.97 	814.98 
A,PER_SUSP,F,P_HTHAB,HR	159.96 	157.19 	147.43 	158.43 	137.37 	122.41 	111.15 	112.90 	117.40 	113.40 	109.90 	116.75 	118.71 	143.43 	155.50 	164.70 
A,PER_SUSP,F,P_HTHAB,HU	485.59 	471.40 	554.55 	529.66 	500.94 	479.16 	392.33 	337.15 	299.67 	286.26 	188.36 	532.50 	463.02 	515.24 	538.27 	596.06 
A,PER_SUSP,F,P_HTHAB,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	921.32 	787.59 	681.86 	751.52 	810.32 
A,PER_SUSP,F,P_HTHAB,IS	: 	: 	: 	530.15 	460.40 	: 	643.04 	550.90 	611.16 	683.74 	724.03 	677.56 	661.43 	712.66 	648.64 	699.15 
A,PER_SUSP,F,P_HTHAB,IT	509.15 	506.52 	514.04 	537.34 	576.94 	618.22 	604.75 	591.22 	495.61 	484.24 	511.50 	503.85 	467.64 	510.04 	497.16 	466.04 
A,PER_SUSP,F,P_HTHAB,LI	1703.15 	1289.03 	1147.59 	1527.68 	444.85 	: 	1922.15 	2041.14 	2009.28 	: 	: 	490.88 	532.46 	: 	: 	: 
A,PER_SUSP,F,P_HTHAB,LT	130.25 	132.01 	151.56 	146.65 	167.09 	215.16 	223.88 	178.22 	146.83 	193.33 	164.79 	170.96 	186.16 	176.12 	185.41 	175.95 
A,PER_SUSP,F,P_HTHAB,LU	1835.03 	2092.78 	1891.08 	2286.36 	2582.19 	2555.96 	2684.63 	2402.97 	2501.95 	1895.75 	1912.67 	2129.60 	2337.82 	2160.34 	2256.71 	: 
A,PER_SUSP,F,P_HTHAB,LV	: 	: 	290.72 	284.73 	294.95 	268.49 	260.88 	271.19 	201.94 	209.02 	181.86 	182.89 	167.82 	168.27 	169.46 	177.70 
A,PER_SUSP,F,P_HTHAB,ME	: 	: 	: 	: 	: 	: 	87.48 	95.05 	81.09 	101.07 	117.92 	121.16 	172.44 	183.19 	126.40 	139.10 
A,PER_SUSP,F,P_HTHAB,MT	333.01 	373.21 	499.46 	579.62 	564.21 	544.72 	578.43 	547.44 	561.56 	480.68 	530.41 	436.45 	409.99 	486.90 	499.39 	560.59 
A,PER_SUSP,F,P_HTHAB,NL	851.77 	774.07 	728.36 	708.84 	695.41 	666.83 	470.03 	545.92 	388.55 	369.38 	347.12 	346.05 	301.61 	265.79 	300.95 	283.79 
A,PER_SUSP,F,P_HTHAB,NO	308.29 	291.30 	285.46 	277.02 	267.20 	526.84 	522.79 	527.29 	516.45 	470.41 	448.38 	426.46 	436.26 	429.62 	411.24 	408.70 
A,PER_SUSP,F,P_HTHAB,PL	256.95 	294.31 	263.74 	262.88 	254.38 	226.38 	208.03 	183.64 	187.01 	191.66 	193.01 	203.86 	185.29 	192.00 	203.34 	206.31 
A,PER_SUSP,F,P_HTHAB,RO	257.58 	268.63 	254.26 	217.71 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,F,P_HTHAB,RS	150.91 	142.79 	131.49 	135.33 	135.54 	148.05 	137.47 	147.62 	156.58 	164.90 	167.65 	171.66 	160.84 	166.47 	170.36 	175.19 
A,PER_SUSP,F,P_HTHAB,SE	423.54 	448.46 	446.11 	427.66 	406.84 	751.96 	756.44 	820.64 	714.14 	697.50 	721.34 	779.30 	875.35 	847.68 	822.42 	862.51 
A,PER_SUSP,F,P_HTHAB,SI	265.01 	305.23 	344.09 	324.44 	333.95 	368.74 	357.43 	327.59 	268.53 	307.27 	320.63 	324.68 	298.72 	279.30 	320.92 	318.12 
A,PER_SUSP,F,P_HTHAB,SK	258.65 	289.90 	275.55 	298.02 	284.50 	289.10 	275.70 	253.40 	233.80 	254.13 	242.73 	231.74 	194.09 	182.65 	205.02 	204.28 
A,PER_SUSP,F,P_HTHAB,TR	: 	465.47 	551.85 	584.52 	684.08 	: 	: 	: 	58.09 	53.24 	60.23 	74.56 	: 	: 	: 	: 
A,PER_SUSP,F,P_HTHAB,UKN	1604.97 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,F,P_HTHAB,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	374.90 	372.05 	386.05 	308.96 	: 	: 	: 
A,PER_SUSP,M,NR,AT	185505 	191821 	185055 	200861 	201335 	205726 	202713 	194463 	211378 	209983 	224541 	233730 	213279 	203621 	229055 	246030 
A,PER_SUSP,M,NR,BA	: 	: 	: 	: 	742 	472 	668 	538 	7660 	: 	738 	10164 	16888 	17331 	16715 	16820 
A,PER_SUSP,M,NR,BE	179010 	183572 	179926 	183479 	175437 	172382 	173875 	163366 	: 	155305 	158842 	163467 	244335 	186125 	156096 	153396 
A,PER_SUSP,M,NR,BG	49503 	49227 	52160 	44790 	39962 	38561 	48214 	35374 	40545 	43586 	41525 	39777 	38297 	38311 	39279 	40159 
A,PER_SUSP,M,NR,CH	: 	104768 	102976 	101149 	105780 	101467 	93484 	95142 	95180 	93943 	95186 	94946 	90266 	88465 	92108 	97009 
A,PER_SUSP,M,NR,CY	2952 	3447 	: 	5568 	5514 	5401 	4863 	4623 	3826 	3984 	3831 	3802 	3252 	3630 	4445 	4887 
A,PER_SUSP,M,NR,CZ	105929 	106463 	97673 	99715 	89751 	100858 	97430 	85672 	76177 	71956 	70243 	70917 	61378 	56886 	61591 	64613 
A,PER_SUSP,M,NR,DE	1633340 	1626181 	1540175 	1514154 	1508455 	1555099 	1597241 	1781388 	1767739 	1603259 	1541130 	1514667 	1481252 	1419594 	1565240 	1675541 
A,PER_SUSP,M,NR,DK	: 	: 	: 	: 	: 	: 	: 	31689 	31397 	30380 	30951 	32655 	32175 	32119 	33305 	30747 
A,PER_SUSP,M,NR,EL	: 	: 	: 	: 	: 	: 	76017 	83710 	93481 	96243 	103356 	102778 	94265 	96994 	119492 	132725 
A,PER_SUSP,M,NR,ES	: 	300852 	289716 	335726 	324637 	318789 	301728 	313056 	301601 	307859 	321722 	336596 	342326 	372475 	416701 	454945 
A,PER_SUSP,M,NR,FI	308593 	338141 	347447 	347532 	310337 	314400 	290739 	288301 	14346 	295942 	314092 	294172 	212969 	116447 	112406 	115234 
A,PER_SUSP,M,NR,FR	995177 	991953 	962263 	982591 	953169 	909751 	913831 	894968 	865278 	940315 	1439642 	1448583 	1348356 	1504824 	1538837 	1608192 
A,PER_SUSP,M,NR,HR	: 	28921 	27967 	27410 	24412 	19650 	17577 	17315 	16183 	15436 	14916 	16071 	16344 	17527 	17662 	19693 
A,PER_SUSP,M,NR,HU	130731 	119027 	134705 	128972 	121474 	120224 	99247 	87748 	81695 	76727 	48320 	108676 	115315 	120582 	116970 	123370 
A,PER_SUSP,M,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	95135 	91335 	81642 	84968 	86274 
A,PER_SUSP,M,NR,IS	: 	: 	: 	: 	: 	: 	4641 	3037 	4444 	4913 	5260 	5235 	4535 	4593 	4631 	4996 
A,PER_SUSP,M,NR,IT	735185 	714589 	710520 	736012 	756283 	787566 	792984 	778232 	738851 	728299 	710688 	700171 	658441 	675941 	668189 	656057 
A,PER_SUSP,M,NR,LI	: 	1264 	841 	1100 	502 	: 	1341 	1323 	1266 	: 	: 	394 	422 	: 	: 	: 
A,PER_SUSP,M,NR,LT	18657 	19069 	191 	191 	237 	27273 	27098 	24018 	18805 	24769 	21584 	20882 	22071 	19414 	19575 	19180 
A,PER_SUSP,M,NR,LU	: 	17253 	15801 	18061 	: 	20449 	22077 	21684 	19134 	18337 	20030 	22533 	24314 	25540 	27430 	: 
A,PER_SUSP,M,NR,LV	: 	: 	22272 	21321 	21315 	19187 	19132 	20330 	12894 	12157 	11525 	11458 	11024 	10666 	10566 	10765 
A,PER_SUSP,M,NR,ME	: 	: 	: 	: 	: 	: 	4010 	3553 	3351 	3273 	4054 	3487 	6099 	5044 	3720 	3909 
A,PER_SUSP,M,NR,MT	2847 	2876 	3452 	3850 	3957 	4166 	4040 	4232 	4118 	4366 	4539 	4196 	4323 	4800 	4674 	5167 
A,PER_SUSP,M,NR,NL	384265 	345840 	322450 	314410 	303045 	283825 	161130 	235090 	137520 	140150 	135350 	137300 	125550 	117860 	128280 	123980 
A,PER_SUSP,M,NR,NO	71271 	68829 	69767 	68157 	67636 	69060 	67914 	66803 	66640 	61540 	58717 	58073 	58277 	53458 	50495 	49620 
A,PER_SUSP,M,NR,PL	: 	470899 	464434 	470331 	450587 	385649 	322814 	283390 	275788 	271459 	299063 	298643 	274395 	284697 	278355 	166418 
A,PER_SUSP,M,NR,RO	203151 	207436 	215038 	188948 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,M,NR,RS	51255 	50202 	50329 	47253 	45120 	46691 	43692 	44231 	43917 	44710 	44386 	44664 	41298 	40817 	39981 	39125 
A,PER_SUSP,M,NR,SE	142934 	149994 	152315 	149326 	146137 	137475 	135891 	136243 	134981 	139907 	142586 	147776 	153438 	147067 	145770 	148267 
A,PER_SUSP,M,NR,SI	14817 	16198 	16619 	15842 	15084 	14584 	14595 	12662 	11358 	12244 	12370 	12788 	12507 	11327 	12000 	12607 
A,PER_SUSP,M,NR,SK	43783 	46874 	44426 	44776 	45619 	45831 	43393 	39387 	36354 	35837 	34662 	33875 	30904 	29060 	29197 	28544 
A,PER_SUSP,M,NR,TR	: 	1104208 	1203158 	1286828 	1424120 	: 	: 	: 	125733 	119519 	127752 	137780 	: 	: 	: 	: 
A,PER_SUSP,M,NR,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	31921 	29335 	29897 	27811 	: 	: 	: 
A,PER_SUSP,M,P_HTHAB,AT	4588.88 	4728.22 	4551.05 	4924.43 	4912.83 	4988.96 	4878.03 	4629.63 	4947.35 	4869.24 	5175.52 	5364.43 	4870.75 	4630.96 	5175.82 	5485.85 
A,PER_SUSP,M,P_HTHAB,BA	: 	: 	: 	: 	39.56 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,M,P_HTHAB,BE	3426.48 	3484.23 	3387.02 	3396.68 	3217.98 	3141.39 	3164.94 	2957.35 	: 	2778.63 	2829.28 	2895.87 	4300.74 	3265.08 	2722.46 	2646.52 
A,PER_SUSP,M,P_HTHAB,BG	1352.41 	1353.93 	1443.29 	1248.01 	1120.40 	1087.74 	1367.79 	1010.10 	1166.03 	1263.37 	1213.33 	1171.39 	1136.53 	1143.71 	1259.68 	1295.66 
A,PER_SUSP,M,P_HTHAB,CH	: 	2766.75 	2485.53 	2423.33 	2530.00 	2556.79 	2324.26 	2335.41 	2309.37 	2250.97 	2262.87 	2240.81 	2114.52 	2056.08 	2123.18 	2214.84 
A,PER_SUSP,M,P_HTHAB,CY	775.91 	884.01 	: 	1362.18 	1316.01 	1282.79 	1164.68 	1122.56 	927.08 	956.17 	908.88 	888.67 	748.50 	829.43 	1007.75 	1050.68 
A,PER_SUSP,M,P_HTHAB,CZ	2091.34 	2080.71 	1901.67 	1937.26 	1739.96 	1952.97 	1887.31 	1654.88 	1468.80 	1383.59 	1345.71 	1352.30 	1164.23 	1100.12 	1188.15 	1217.16 
A,PER_SUSP,M,P_HTHAB,DE	4055.54 	4046.81 	3840.49 	3870.08 	3845.16 	3948.86 	4037.83 	4471.87 	4363.27 	3939.49 	3773.25 	3697.31 	3609.50 	3460.19 	3811.45 	4094.70 
A,PER_SUSP,M,P_HTHAB,DK	: 	: 	: 	: 	: 	: 	: 	1127.32 	1106.35 	1062.17 	1076.01 	1130.29 	1110.66 	1105.70 	1139.44 	1042.62 
A,PER_SUSP,M,P_HTHAB,EL	: 	: 	: 	: 	: 	: 	1430.71 	1588.91 	1789.38 	1843.28 	1983.79 	1973.35 	1807.41 	1866.69 	2336.23 	2605.85 
A,PER_SUSP,M,P_HTHAB,ES	: 	1314.88 	1260.61 	1456.54 	1405.42 	1384.97 	1318.89 	1371.46 	1322.38 	1348.21 	1406.01 	1462.87 	1475.59 	1603.61 	1789.28 	1930.55 
A,PER_SUSP,M,P_HTHAB,FI	5821.98 	6348.50 	6492.60 	6465.38 	5745.63 	11790.20 	10847.00 	10710.09 	531.04 	10911.00 	11551.19 	10802.08 	7806.03 	4259.52 	4097.77 	4185.04 
A,PER_SUSP,M,P_HTHAB,FR	3212.30 	3184.65 	3074.15 	3123.01 	3015.84 	2863.31 	2861.40 	2781.63 	2683.25 	2909.90 	4441.39 	4460.49 	4130.36 	4590.38 	4665.60 	4860.29 
A,PER_SUSP,M,P_HTHAB,HR	: 	1392.60 	1348.03 	1324.95 	1183.72 	955.51 	857.52 	849.10 	800.03 	769.79 	752.65 	814.72 	828.95 	891.99 	948.40 	1057.70 
A,PER_SUSP,M,P_HTHAB,HU	2740.94 	2498.97 	2831.78 	2718.69 	2571.06 	2549.30 	2110.12 	1868.66 	1742.45 	1641.12 	1034.33 	2324.21 	2472.51 	2594.63 	2526.96 	2667.31 
A,PER_SUSP,M,P_HTHAB,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3916.82 	3680.32 	3253.73 	3331.78 	3312.44 
A,PER_SUSP,M,P_HTHAB,IS	: 	: 	: 	1909.30 	1857.03 	: 	2841.70 	1838.53 	2656.78 	2872.55 	2961.71 	2863.21 	2425.90 	2429.61 	2398.30 	2498.52 
A,PER_SUSP,M,P_HTHAB,IT	2587.66 	2501.19 	2480.05 	2563.14 	2632.69 	2726.12 	2689.49 	2637.93 	2508.29 	2473.36 	2415.04 	2403.51 	2266.57 	2341.63 	2318.57 	2276.80 
A,PER_SUSP,M,P_HTHAB,LI	: 	7185.49 	4732.96 	6150.06 	2782.40 	: 	7288.04 	7130.92 	6784.57 	: 	: 	2070.96 	2196.20 	: 	: 	: 
A,PER_SUSP,M,P_HTHAB,LT	1254.32 	1294.26 	1322.03 	1363.47 	1715.85 	1992.34 	1998.38 	1784.06 	1414.33 	1887.61 	1663.77 	1611.77 	1698.45 	1487.70 	1498.16 	1435.83 
A,PER_SUSP,M,P_HTHAB,LU	: 	7046.79 	6335.45 	7093.34 	7316.48 	7618.51 	8024.59 	7690.13 	6616.34 	6181.55 	6619.74 	7298.85 	7719.61 	7994.84 	8438.34 	: 
A,PER_SUSP,M,P_HTHAB,LV	: 	: 	2293.88 	2249.20 	2280.14 	2070.73 	2086.27 	2231.11 	1425.86 	1357.29 	1295.47 	1294.82 	1251.37 	1218.66 	1215.80 	1234.06 
A,PER_SUSP,M,P_HTHAB,ME	: 	: 	: 	: 	: 	: 	1305.53 	1155.36 	1088.93 	1063.52 	1317.34 	1133.20 	1983.06 	1643.72 	1218.98 	1282.94 
A,PER_SUSP,M,P_HTHAB,MT	1404.30 	1405.62 	1674.08 	1865.26 	1905.20 	1984.94 	1883.16 	1919.38 	1818.94 	1884.63 	1886.54 	1666.16 	1621.78 	1793.63 	1728.11 	1814.12 
A,PER_SUSP,M,P_HTHAB,NL	4736.95 	4240.11 	3930.65 	3814.04 	3658.70 	3416.56 	1933.32 	2807.76 	1633.81 	1653.67 	1587.30 	1600.03 	1451.78 	1356.81 	1466.82 	1400.86 
A,PER_SUSP,M,P_HTHAB,NO	1504.51 	1434.16 	1436.07 	1385.22 	1356.55 	2723.28 	2645.65 	2570.13 	2540.00 	2323.03 	2200.48 	2162.81 	2153.17 	1965.90 	1844.68 	1794.27 
A,PER_SUSP,M,P_HTHAB,PL	: 	2557.16 	2522.42 	2552.03 	2445.21 	2092.95 	1754.05 	1540.40 	1500.72 	1477.10 	1627.08 	1624.79 	1493.44 	1555.09 	1559.76 	936.33 
A,PER_SUSP,M,P_HTHAB,RO	2021.57 	2084.39 	2057.56 	1812.71 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,M,P_HTHAB,RS	1431.27 	1407.59 	1416.29 	1338.26 	1283.85 	1335.17 	1255.57 	1276.73 	1274.34 	1303.87 	1301.42 	1316.43 	1223.78 	1219.88 	1208.60 	1211.50 
A,PER_SUSP,M,P_HTHAB,SE	1556.52 	1620.44 	1630.66 	1585.95 	1541.45 	2884.55 	2822.62 	2796.31 	2737.41 	2790.69 	2805.34 	2873.66 	2953.11 	2815.84 	2770.92 	2798.38 
A,PER_SUSP,M,P_HTHAB,SI	1501.93 	1613.43 	1638.78 	1561.46 	1483.58 	1431.12 	1429.66 	1238.67 	1109.90 	1194.39 	1204.43 	1231.21 	1189.93 	1068.65 	1134.54 	1185.68 
A,PER_SUSP,M,P_HTHAB,SK	1675.14 	1790.22 	1693.36 	1705.64 	1733.41 	1738.67 	1644.26 	1490.62 	1373.88 	1351.48 	1304.79 	1272.98 	1159.47 	1089.82 	1098.50 	1075.07 
A,PER_SUSP,M,P_HTHAB,TR	: 	3075.69 	3299.72 	3473.86 	3794.32 	: 	: 	: 	318.22 	298.47 	315.16 	334.91 	: 	: 	: 	: 
A,PER_SUSP,M,P_HTHAB,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	3618.23 	3302.93 	3376.62 	3178.83 	: 	: 	: 
A,PER_SUSP,T,NR,AL	13085 	11989 	15107 	17773 	21028 	21843 	29593 	34093 	34674 	36051 	39649 	43045 	40956 	39328 	38198 	39489 
A,PER_SUSP,T,NR,AT	240554 	246378 	239954 	259028 	259923 	260150 	255815 	250580 	270160 	270630 	288414 	304422 	276344 	266961 	302503 	329969 
A,PER_SUSP,T,NR,BA	12065 	25395 	27407 	29113 	29253 	27505 	25856 	22186 	21589 	: 	19216 	18575 	18247 	19083 	18176 	18303 
A,PER_SUSP,T,NR,BE	264433 	278531 	275665 	284684 	274645 	271918 	261631 	244796 	: 	195083 	199089 	204636 	315387 	240384 	196595 	193602 
A,PER_SUSP,T,NR,BG	55504 	55400 	59206 	51277 	46071 	44591 	55873 	40825 	46191 	50522 	48449 	46219 	44354 	44351 	45246 	46469 
A,PER_SUSP,T,NR,CH	: 	132907 	121867 	119634 	125109 	127624 	118874 	121469 	121657 	119941 	122353 	122199 	116515 	115044 	120000 	126633 
A,PER_SUSP,T,NR,CY	9840 	9316 	9685 	6243 	6385 	5956 	5605 	5218 	4474 	4642 	4347 	4358 	3813 	4239 	5349 	5561 
A,PER_SUSP,T,NR,CZ	122053 	123235 	112477 	114975 	113026 	117596 	114392 	101597 	91599 	86787 	84990 	86209 	75405 	69749 	75474 	79356 
A,PER_SUSP,T,NR,DE	2255693 	2250339 	2152803 	2112843 	2094118 	2094160 	2149504 	2369036 	2360806 	2132876 	2051266 	2019211 	1969617 	1892003 	2093782 	2246767 
A,PER_SUSP,T,NR,DK	: 	: 	: 	: 	: 	: 	: 	35180 	34850 	33608 	34042 	36080 	35724 	35555 	37115 	34347 
A,PER_SUSP,T,NR,EE	18249 	15620 	16924 	19744 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,T,NR,EL	216241 	196694 	171406 	130923 	120526 	98771 	100269 	110361 	111534 	115443 	124257 	122305 	113139 	117565 	144770 	163192 
A,PER_SUSP,T,NR,ES	350801 	334045 	322884 	377965 	369612 	374807 	349924 	377694 	365072 	372760 	389149 	406138 	413810 	451654 	506562 	554986 
A,PER_SUSP,T,NR,FI	401971 	446701 	462985 	467458 	416883 	424881 	398953 	398477 	401952 	414491 	445114 	417374 	293152 	151164 	145554 	150421 
A,PER_SUSP,T,NR,FR	1172393 	1174837 	1146315 	1172547 	1152159 	1106022 	1111882 	1091700 	1059237 	1143435 	1711529 	1720831 	1594939 	1771447 	1802848 	1894974 
A,PER_SUSP,T,NR,HR	31740 	32431 	31252 	30929 	27453 	22350 	20019 	19783 	18728 	17873 	17399 	18675 	18966 	20656 	20904 	23100 
A,PER_SUSP,T,NR,HU	156350 	143860 	163860 	156736 	147559 	145106 	119546 	105144 	97151 	91427 	57943 	135839 	138619 	146404 	143824 	153063 
A,PER_SUSP,T,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	122941 	111268 	99082 	104538 	107884 
A,PER_SUSP,T,NR,IS	: 	4614 	: 	3895 	3711 	: 	5685 	3940 	5481 	6112 	6596 	6421 	5708 	5874 	5821 	6313 
A,PER_SUSP,T,NR,IT	889793 	869132 	867842 	900870 	933895 	978082 	980845 	962247 	893689 	878632 	869304 	854657 	801372 	830802 	818619 	796644 
A,PER_SUSP,T,NR,LI	1392 	1496 	1049 	1379 	584 	: 	1701 	1707 	1647 	: 	: 	523 	602 	496 	544 	: 
