freq	unit	iccs	geo	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
A	NR	ICCS05012	Ireland	18238 	18713 	18506 	17672 	16970 	15840 	14286 	13376 	14877 	15474 	16436 	24913	26381	24788	23603 
A	NR	ICCS05012	Iceland	: 	: 	: 	: 	: 	: 	: 	2407 	2857 	3208 	2889 	2769	2244	2365	2277 
A	NR	ICCS05012	Italy	192141 	198401 	212477 	230258 	237445 	246804 	234252 	207317 	183496 	169430 	173097 	112112	122250	143726	169367 
A	NR	ICCS05012	Liechtenstein	: 	: 	142 	203 	95 	92 	74 	95 	72 	87 	123 	121	97	120	102 
A	NR	ICCS05012	Lithuania	6964 	7414 	7462 	8631 	9424 	9246 	9180 	9203 	8647 	6989 	8573 	9174	7065	6637	5516 
A	NR	ICCS05012	Luxembourg	2942 	3728 	3249 	3152 	2416 	2649 	2092 	2081 	1947 	1992 	2206 	2100	1486	1838	2030 
A	NR	ICCS05012	Latvia	: 	: 	: 	: 	: 	: 	4706 	5614 	5439 	5177 	5327 	6031	4310	4624	3654 
A	NR	ICCS05012	North Macedonia	: 	: 	: 	: 	: 	: 	: 	981 	1036 	792 	1088 	1275	1146	1367	1590 
A	NR	ICCS05012	Malta	: 	: 	: 	: 	: 	: 	675 	784 	618 	679 	682 	782	1113	856	735 
A	NR	ICCS05012	Netherlands	119858 	123962 	118115 	103951 	97690 	90613 	92252 	91420 	90284 	101920 	103577 	95952	96015	95165	89415 
A	NR	ICCS05012	Norway	18663 	17329 	18382 	18054 	15976 	14128 	11821 	10402 	9641 	10482 	10475 	8613	8136	7268	6777 
A	NR	ICCS05012	Poland	: 	57120 	62011 	65985 	70187 	74137 	74326 	77397 	72167 	67290 	65172 	66795	59325	46610	37644 
A	NR	ICCS05012	Portugal	19376 	23130 	21981 	22798 	24202 	21515 	22224 	21153 	20806 	19989 	21963 	22587	21840	23314	22324 
A	NR	ICCS05012	Romania	15411 	17842 	31163 	29024 	31311 	29404 	21287 	19024 	17551 	12001 	10063 	10002	9135	9165	10829 
A	NR	ICCS05012	Serbia	: 	: 	: 	: 	: 	: 	: 	9685 	11906 	9084 	6890 	7611	7738	6224	6184 
A	NR	ICCS05012	Sweden	20237 	17670 	16701 	16835 	18359 	17536 	16834 	17581 	15169 	16562 	17344 	17573	16654	15005	16936 
A	NR	ICCS05012	Slovenia	: 	1383 	1361 	: 	: 	: 	988 	3274 	2522 	3051 	2368 	2750	2286	2220	2282 
A	NR	ICCS05012	Slovakia	3928 	4666 	4480 	3859 	3854 	3639 	3601 	3248 	3144 	2785 	2642 	3023	2809	2602	2437 
A	NR	ICCS05012	Turkey	: 	: 	: 	: 	: 	: 	: 	20493 	28877 	29149 	32162 	36935	58062	90150	73727 
A	NR	ICCS05012	United Kingdom	: 	: 	643645 	602128 	519265 	473349 	442602 	402984 	430347 	437583 	402345 	321507	300517	292260	280696 
A	NR	ICCS05012	United Kingdom	: 	53116 	44725 	40814 	36792 	38033 	36265 	32684 	30181 	29623 	24828 	23613	21232	20429	17465 
