freq	citizen	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	NAT	NR	AT	: 	: 	4636 	4715 	4625 	4489 	4243 	3963 	3933 	4021 	4134 	4278 	4190 	4280 	4349 	4289 
A	NAT	NR	BA	: 	: 	2228 	2690 	: 	2844 	2779 	2673 	2783 	2788 	4326 	4404 	3923 	2842 	2704 	2236 
A	NAT	NR	BE	5681 	5840 	6089 	6177 	6264 	6531 	: 	6103 	: 	5844 	5706 	6023 	5764 	6063 	6320 	6674 
A	NAT	NR	BG	9221 	8841 	9233 	9710 	9313 	8581 	7638 	7166 	7130 	6802 	6490 	6311 	6097 	5714 	5443 	5363 
A	NAT	NR	CH	1722 	1774 	1735 	1715 	1712 	1795 	1846 	1984 	1908 	1949 	1923 	2090 	1843 	1883 	1856 	1895 
A	NAT	NR	CY	275 	257 	262 	266 	274 	247 	293 	333 	349 	441 	343 	387 	341 	378 	427 	415 
A	NAT	NR	CZ	19053 	21274 	20300 	21440 	20929 	15122 	17109 	19196 	20674 	20345 	19809 	19254 	17752 	17352 	17593 	17918 
A	NAT	NR	DK	2659 	2910 	3091 	3109 	2850 	2993 	2581 	2338 	2454 	2450 	2596 	2783 	2995 	3148 	3063 	3047 
A	NAT	NR	EE	: 	2156 	2044 	2098 	2038 	1931 	1808 	1727 	1804 	1727 	1668 	1650 	1567 	1464 	1387 	1218 
A	NAT	NR	EL	6139 	5057 	5139 	4592 	4600 	5070 	4916 	4322 	4365 	4720 	4832 	4577 	4580 	4531 	4504 	4680 
A	NAT	NR	ES	47357 	48917 	47614 	45970 	45704 	45649 	45320 	43744 	42459 	42265 	42347 	42047 	39262 	38825 	38993 	39005 
A	NAT	NR	FI	3197 	3233 	2990 	2832 	2828 	2837 	2665 	2646 	2625 	2527 	2453 	2443 	2277 	2390 	2400 	2369 
A	NAT	NR	FR	50383 	49426 	48947 	52238 	53529 	53232 	52456 	52586 	53468 	53556 	53908 	54325 	47186 	52001 	54105 	57081 
A	NAT	NR	HR	: 	: 	: 	: 	: 	: 	3532 	3144 	2880 	2912 	2904 	3052 	3150 	3438 	3668 	3667 
A	NAT	NR	HU	14205 	14855 	15724 	16625 	16558 	17188 	17190 	16543 	16780 	16482 	15550 	15529 	15754 	16744 	16454 	16873 
A	NAT	NR	IE	3027 	3368 	3324 	3311 	3312 	3054 	2833 	3413 	: 	: 	3442 	3402 	3218 	3231 	3718 	3993 
